"Continent","IE","Firefox","Chrome","Safari","BlackBerry","Android","iPhone","Opera","Nokia","Maxthon","UC Browser","NetFront","Sony PS3","iPod Touch","Bolt","Mozilla","Windows Media Player"
Oman ,58.37,13.57,13.77,1.05,0,0,0,2.33,9,0,0,0,0,0,0,0,0
Panama ,55.06,19.98,18.07,3.79,0,0,0,1.03,0,0,0,0,0,0,0,0,0
Georgia ,16.44,18.37,20.51,0,0,0,0,43.47,0,0,0,0,0,0,0,0,0
Uruguay ,39.6,30.9,26.19,1.36,0,0,0,1.14,0,0,0,0,0,0,0,0,0
Cyprus ,48.48,28.15,17.85,2.77,0,0,0,1.68,0,0,0,0,0,0,0,0,0
El Salvador ,38.21,35.31,19.56,2.1,0,0,0,2.09,0,0,0,0,0,0,0,0,0
Montenegro ,19.89,35.37,31.5,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0
Moldova ,17.94,41.33,27.23,0,0,0,0,12.4,0,0,0,0,0,0,0,0,0
Libya ,44.96,18.75,22.07,0,0,0,0,5.96,6.62,0,0,0,0,0,0,0,0
Trinidad and Tobago ,37.18,26.78,29.16,3.37,0,0,0,1.68,0,0,0,0,0,0,0,0,0
Nicaragua ,35.2,42.35,17.28,1.39,0,0,0,1.2,0,0,0,0,0,0,0,0,0
Myanmar ,24.77,70.32,3.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen ,51.71,25.86,16.35,0,0,0,0,3.52,1.24,0,0,0,0,0,0,0,0
Kazakhstan ,21.45,30.44,10.75,1.15,0,0,0,35.44,0,0,0,0,0,0,0,0,0
Kenya ,26.45,40.3,9.82,2.22,0,0,0,17.96,1.7,0,0,0,0,0,0,0,0
Sudan ,46.98,22.76,4.66,0,0,0,0,13.3,10.02,0,0,0,0,0,0,0,0
Iceland ,30.88,34.73,22.45,9.66,0,0,0,1.45,0,0,0,0,0,0,0,0,0
Malta ,48.21,23.54,22.01,3.45,0,0,0,1.44,0,0,0,0,0,0,0,0,0
Azerbaijan ,35.32,17.1,14.18,1.3,0,0,0,30.68,0,0,0,0,0,0,0,0,0
Luxembourg ,33.3,39.26,10.61,12.55,0,0,1.86,1.37,0,0,0,0,0,0,0,0,0
Jamaica ,32.08,33.31,26.97,3.63,0,0,0,2.29,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,17.51,29.88,17.37,5.52,0,0,1.27,7.5,17.55,0,0,1.08,0,0,0,0,0
Ghana ,23.28,50,8.26,2.32,0,0,0,12.59,1.08,0,0,0,0,0,0,0,0
Nepal ,32.93,32.96,18.92,1.33,0,0,0,12.04,0,0,0,0,0,0,0,0,0
Armenia ,16,38.87,32.18,1.11,0,0,0,11.31,0,0,0,0,0,0,0,0,0
Mauritius ,28.07,39.48,24,2.64,0,0,0,3.92,0,0,0,0,0,0,0,0,0
Faroe Islands ,62.62,14.66,14.38,5.52,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal ,30.37,52.02,13.92,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,59.3,18.79,11.82,4.97,0,0,1.53,0,0,1.29,0,0,0,0,0,0,0
Bahamas ,50.91,19.05,18.63,8.27,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,35.14,38.76,9.18,3.2,0,0,1.25,5.17,4.06,0,0,2,0,0,0,0,0
Lao Peoples Democratic Republic ,49.44,23.83,6.06,1.69,0,0,0,8.61,8.31,0,0,0,0,0,0,0,0
Bermuda ,63.08,12.51,7.31,14.66,0,0,0,1.03,0,0,0,0,0,0,0,0,0
Angola ,63.75,17.24,11.64,3.92,0,0,0,2.32,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,52.8,24.46,14.48,5.87,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados ,39.8,32.12,21.59,3.81,0,0,0,1.2,0,0,0,0,0,0,0,0,0
Reunion ,27.26,47.1,14.5,7.53,0,0,0,1.57,0,0,0,0,0,0,0,0,0
Ethiopia ,42.59,33.74,9.09,0,0,0,0,9.85,2.67,0,0,0,0,0,0,0,0
Tanzania ,46.91,27.86,8.99,3.43,0,0,0,9.68,1.87,0,0,0,0,0,0,0,0
Isle of Man ,56.28,18.09,11.74,9.62,0,0,1.29,0,0,0,0,0,0,0,0,0,0
Uganda ,34.41,47.15,9.93,2.38,0,0,0,4.36,0,0,0,0,0,0,0,0,0
Cote dIvoire ,38.07,42.28,12.75,1.37,0,0,0,3.75,0,0,0,0,0,0,0,0,0
Maldives ,21.7,50.31,18.77,3.01,0,0,0,2.55,2.07,0,0,0,0,0,0,0,0
Mozambique ,49.1,25.24,11.23,2.42,0,0,0,6.81,4.15,0,0,0,0,0,0,0,0
Guam ,40.99,25.5,18.52,8.9,0,0,2.36,0,0,0,0,0,0,1.16,0,0,0
Cameroon ,26,62.95,5.59,0,0,0,0,2.72,0,0,0,0,0,0,0,0,0
Botswana ,53.2,23.18,15.62,2.48,0,0,0,3.22,1.22,0,0,0,0,0,0,0,0
Jersey ,49.43,18.05,12.05,16.27,0,0,1.48,0,0,0,0,0,0,0,0,0,0
Namibia ,51.74,19.33,11.63,2.61,0,0,0,9.62,2.58,0,0,0,0,0,0,0,0
Aruba ,50.43,24.46,15.21,7.62,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname ,56.88,24.68,10.96,1.5,0,0,0,3.14,0,0,0,0,0,0,0,0,0
Guernsey ,48.98,18.6,11.61,14.11,0,0,1.47,3.25,0,0,0,0,0,1.08,0,0,0
Guadeloupe ,39.71,31.89,16.53,8.44,0,0,0,1.28,0,0,0,0,0,0,0,0,0
Cuba ,31.32,59.61,4.68,0,0,0,0,2.5,0,0,0,0,0,0,0,1.03,0
Martinique ,42.56,31.34,16.69,5.29,0,0,0,1.44,0,0,0,0,0,0,0,0,0
 ,12.74,74.94,6.87,8.9,0,0,0,4.38,0,0,0,0,0,0,0,0,0
Uzbekistan ,20.63,23.17,8.98,1.4,0,0,0,42.78,1.49,0,0,0,0,0,0,0,0
Haiti ,57.82,22.57,12.3,4.7,0,0,0,1.12,0,0,0,0,0,0,0,0,0
Afghanistan ,59.09,23.36,8.53,2.61,0,0,0,4.48,0,0,0,0,0,0,0,0,0
Guyana ,45.23,33.24,16.81,1.52,0,0,0,1.64,0,0,0,0,0,0,0,0,0
Cayman Islands ,44.93,23.31,15.34,12.36,1.47,0,0,0,0,0,0,0,0,0,0,0,0
Fiji ,41.41,37.74,14.61,3.8,0,0,0,1.44,0,0,0,0,0,0,0,0,0
Saint Lucia ,43.89,27.65,22.14,3.78,0,0,0,1.48,0,0,0,0,0,0,0,0,0
Grenada ,44.18,25.56,23.19,4.71,0,0,0,1.58,0,0,0,0,0,0,0,0,0
French Polynesia ,30.71,41.67,14.01,11.81,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,33.7,28.55,8.95,2.96,0,0,0,19.87,3.6,0,0,0,0,0,0,0,0
Madagascar ,24.49,56.39,12.67,2.58,0,0,0,2.61,0,0,0,0,0,0,0,0,0
Belize ,37.44,42.74,12.63,3.68,0,0,0,1.14,0,0,0,0,0,0,0,0,0
Andorra ,48.59,21.21,17.66,9.26,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,37.23,26.8,8.2,2.34,0,0,0,23.06,0,0,0,0,0,0,0,0,0
Cape Verde ,61.18,21.83,13.24,2.17,0,0,0,1.14,0,0,0,0,0,0,0,0,0
Djibouti ,60.6,21.26,12.74,1.66,0,0,0,2.19,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,41.75,31.7,15.8,7.97,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,44.99,27.19,19.68,6.49,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,50.51,21.46,20.2,3.7,0,1.47,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,35.23,34.81,17.43,9.92,0,0,0,1.47,0,0,0,0,0,0,0,0,0
Gibraltar ,49.78,22.5,17.03,7.08,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,44.94,20.43,6.84,2.12,0,0,0,21.1,2.31,0,0,0,0,0,0,0,0
Liechtenstein ,39.43,37.06,6.93,13.88,0,0,0,1.09,0,0,0,0,0,0,0,0,0
French Guiana ,40.27,38.5,15.42,4.19,0,0,0,0,0,0,0,0,0,0,0,0,0
