"Continent","IE","Firefox","Safari","Chrome","BlackBerry","iPhone","Android","Opera","Nokia","Maxthon","UC Browser","NetFront","Bolt","Motorola Internet Browser","Windows Media Player","Sony PS3","Camino","Samsung","Mozilla"
Tunisia ,21.65,41.01,0,33.03,0,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0
Panama ,61.32,20.93,2.56,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq ,68.04,15.17,0,7.76,0,0,0,4.2,4,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,43.69,31.09,2.79,18.67,1.35,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0
Latvia ,28.75,47.35,1.84,13.18,0,0,0,8.2,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,43.73,34.71,0,18.98,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,65.32,21.07,0,10.88,0,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,25.59,44.29,0,9.48,0,0,0,15.6,2.8,0,0,0,0,0,0,0,0,0,0
Oman ,60.49,13.82,0,10.07,0,0,0,2.59,10.4,0,0,0,0,0,0,0,0,0,0
Mongolia ,20.72,68.82,0,6.94,0,0,0,1.89,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,63.11,17.87,2.67,11.78,0,0,0,1.93,1.59,0,0,0,0,0,0,0,0,0,0
El Salvador ,42.66,38.34,1.69,13.52,0,0,0,1.95,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,30.05,38.23,0,24.02,0,0,0,4.91,1.03,0,0,0,0,0,0,0,0,0,0
Belarus ,19.48,24,0,6.32,0,0,0,48.18,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,53.35,28.76,2.46,12.58,0,0,0,1.87,0,0,0,0,0,0,0,0,0,0,0
Montenegro ,25.55,40.8,0,23.66,0,0,0,7.51,0,0,0,0,0,0,0,0,0,0,0
Albania ,27.43,33.46,0,34.77,0,0,0,2.04,1.11,0,0,0,0,0,0,0,0,0,0
Georgia ,21.07,19.19,0,13.85,0,0,0,44.54,0,0,0,0,0,0,0,0,0,0,0
Libya ,45.56,18.55,0,16.84,0,0,0,7.77,9.88,0,0,0,0,0,0,0,0,0,0
Myanmar ,33.03,62.47,0,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,40.33,29.95,3.25,22.91,0,0,0,1.57,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,40.67,44.83,1.21,10.92,0,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0
Moldova ,21.46,45,0,17.83,0,0,0,14.44,0,0,0,0,0,0,0,0,0,0,0
Sudan ,49.49,20.93,0,3.7,0,0,0,13.41,10.7,0,0,0,0,0,0,0,0,0,0
Malta ,51.77,25,3.04,17.32,0,0,0,1.68,0,0,0,0,0,0,0,0,0,0,0
Yemen ,56.61,23.47,0,12.87,0,0,0,4.23,1.62,0,0,0,0,0,0,0,0,0,0
Iceland ,35.07,36.86,9.44,16.18,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0
Kenya ,29.08,40.5,2.06,8.43,0,0,0,16.77,1.66,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,17.8,31.36,5.01,12.73,0,0,0,10.91,18.68,0,0,1.2,0,0,0,0,0,0,0
Ghana ,22.6,56.05,1.27,6.62,0,0,0,11.08,0,0,0,0,0,0,0,0,0,0,0
Nepal ,40.69,32.48,1.28,16.36,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,0
Senegal ,26.02,62.59,1.03,8.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,37.94,40.55,9.99,7.69,0,1.5,0,1.41,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,26.49,30.73,1.02,8.03,0,0,0,32.78,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,40.88,17.09,1.31,9.24,0,0,0,29.69,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,37.19,36.24,3.09,19.83,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0
Macao ,66.82,17.68,3.46,8.08,0,0,0,0,0,1.82,0,0,0,0,0,0,0,0,0
Mauritius ,30.63,42.41,2.34,18.3,0,0,0,4.38,1.12,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,66.56,16.07,4.69,10.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola ,68.24,17.39,2.53,8.46,0,0,0,2.23,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,57.79,20.01,6.58,12.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda ,65.74,12.95,12.82,5.8,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,38.71,34.57,2.63,6.3,0,0,0,6.61,6.19,0,0,3.11,0,0,0,0,0,0,0
Armenia ,20.71,42.35,1.44,21.19,0,0,0,13.53,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,55.49,25.52,1.43,4.44,0,0,0,8.16,4.21,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,46.82,36.56,0,9.45,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,60.61,20.93,4.73,11.07,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0
Barbados ,42.09,35.08,3.2,16.89,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,53.33,28.39,0,6.63,0,0,0,7.16,2.55,0,0,0,0,0,0,0,0,0,0
Tanzania ,51.91,25.83,3.07,7.18,0,0,0,9.16,1.77,0,0,0,0,0,0,0,0,0,0
Reunion ,31.99,46.24,7.41,11.1,0,0,0,1.49,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,52.13,27.4,2.32,8,0,0,0,6.01,3.17,0,0,0,0,0,0,0,0,0,0
Isle of Man ,60.8,19.09,7.99,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam ,48.96,26.17,7.31,12.71,0,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,27.98,63.98,0,4.3,0,0,0,1.86,0,0,0,0,0,0,0,0,0,0,0
Maldives ,25.16,51.34,2.4,14.72,0,0,0,3.07,1.63,0,0,0,0,0,0,0,0,0,0
Uganda ,39.64,46.82,2.23,7.89,0,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0
Botswana ,57.34,22.98,2.39,11.97,0,0,0,2.86,1.32,0,0,0,0,0,0,0,0,0,0
Jersey ,52.71,19.55,13.65,10.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba ,57.78,22.59,5.58,11.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia ,57.62,20.08,2.35,9.23,0,0,0,6.17,2.27,0,0,0,0,0,0,0,0,0,0
