"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","Nokia","UC Browser","NetFront","Dolfin","BlackBerry","Maxthon","TheWorld","SeaMonkey","Flock","Comodo Dragon","iPod Touch","Samsung","Obigo","Iron","RockMelt"
Maldives ,11.77,28.89,44.44,3.79,1.07,1.15,2.66,4.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,24.92,13.89,43.4,2.38,1.15,0,9.77,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,24.06,14.67,22.85,2.7,1.1,1.63,19.9,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,28.6,11.8,31.01,4.07,0,0,15.96,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,15.85,10.35,64.6,1.28,0,0,5.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,21.03,27.78,38.17,2.12,0,0,6.16,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,44.46,20.14,15.7,14.51,1.29,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname ,44.5,23.65,22.48,3.01,0,0,2.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,21.92,10.43,22.75,2.47,0,0,35.37,3.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,37.43,15.95,22.69,3.72,0,0,12.04,5.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba ,44.03,23.16,17.44,10.36,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana ,32.82,21.74,35.29,2.85,0,0,3.64,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia ,44.61,15.55,21.11,4.16,1.24,1.19,7.28,3.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam ,28.95,29.77,18.81,12.78,2.91,3.28,0,0,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0
Guadeloupe ,30.16,27.56,26.75,10.01,1.78,1.16,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba ,20.38,6.46,69.84,0,0,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,34.52,16.74,27.96,4.12,0,1.06,7.85,4.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey ,34.49,21.78,14.56,22.16,2.32,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique ,30.66,28.44,29.03,6.14,2.46,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey ,40.06,16.82,14.15,19.2,2.39,4.08,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,24.28,9.72,21.51,3.34,1.32,0,33.62,2.5,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,14.8,24.77,50.3,2.6,0,0,4.02,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji ,30.06,20.33,38.71,4.25,0,0,3.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,28.72,38.88,24.2,5.19,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,34.53,39.61,100,7.09,5.69,1.61,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0
Haiti ,37.41,22.83,21.51,5.89,1.02,0,5.96,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,32.35,33.8,25.16,5.11,0,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,34.37,9.2,19.61,2.22,0,0,26.7,3.37,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana ,31.24,30.95,31.21,2.41,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,39.57,22.28,18.35,15.57,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
