"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","BlackBerry","Opera","Nokia","Maxthon","UC Browser","NetFront","iPod Touch","Bolt","Sony PS3","Windows Media Player","Mozilla"
Trinidad and Tobago ,34.12,25.83,33.49,3.5,0,0,0,1.25,0,0,0,0,0,0,0,0,0
Sudan ,42.64,24.53,5.26,0,0,0,0,17.19,8.31,0,0,0,0,0,0,0,0
Kenya ,23.82,40.19,10.48,2.44,0,0,0,18.73,1.96,0,0,0,0,0,0,0,0
Kazakhstan ,20.29,30.4,14.18,1.29,0,0,0,33.02,0,0,0,0,0,0,0,0,0
Iceland ,27.5,32.95,26.6,9.56,0,0,0,2.46,0,0,0,0,0,0,0,0,0
Malta ,43.37,23.26,26.59,3.82,0,0,0,1.32,0,0,0,0,0,0,0,0,0
Myanmar ,37.73,57.62,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,30.83,32.14,29.98,3.31,0,0,0,2.07,0,0,0,0,0,0,0,0,0
Azerbaijan ,31.5,16.97,18.27,1.31,0,0,0,30.61,0,0,0,0,0,0,0,0,0
Luxembourg ,32.71,37.55,12.7,12.19,0,2.09,0,1.49,0,0,0,0,0,0,0,0,0
Ghana ,20.6,50.56,9.29,2,0,0,0,13.21,1.42,0,0,0,0,0,0,0,0
Brunei Darussalam ,16.32,28.38,19.15,5.7,1.37,1.55,0,7.64,17.06,0,0,1.08,0,0,0,0,0
Nepal ,28.08,34.28,20.84,1.52,0,0,0,12.75,0,0,0,0,0,0,0,0,0
Armenia ,13.98,34.24,40.36,1.15,0,0,0,9.79,0,0,0,0,0,0,0,0,0
Senegal ,23.56,58.93,13.87,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,58.34,18.3,13.14,4.31,0,1.92,0,0,0,1.38,0,0,0,0,0,0,0
Mauritius ,26.71,38.56,25.98,2.59,0,0,0,4.02,1.17,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,48.55,25.11,7.5,1.56,0,0,0,8.54,6.65,0,0,0,0,0,0,0,0
Bermuda ,62.82,11.78,8.42,14.52,0,0,0,1.12,0,0,0,0,0,0,0,0,0
Bahamas ,48.84,17.64,21.88,8.05,0,0,0,0,0,0,0,0,0,0,1.03,0,0
Cambodia ,30.37,39.37,11.01,3.29,0,1.71,0,5.98,4.59,0,0,1.89,0,0,0,0,0
Angola ,63.1,17.11,11.52,4.04,0,0,0,2.81,0,0,0,0,0,0,0,0,0
Faroe Islands ,58.02,14.41,17.51,6.62,0,1.3,0,0,0,0,0,0,0,0,0,0,0
Barbados ,38.13,29.63,25.65,3.87,0,0,0,1.19,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,54.53,19.51,17.29,5.73,0,0,0,1.15,0,0,0,0,0,0,0,0,0
Reunion ,26.21,44.86,16.39,7.4,0,1.18,0,1.56,0,0,0,0,0,0,0,0,0
Ethiopia ,38.2,33.46,8.85,0,0,0,0,13.24,3.91,0,0,0,0,0,0,0,0
Mozambique ,48.57,26.73,11.24,2.24,0,0,0,6.68,3.44,0,0,0,0,0,0,0,0
Tanzania ,43.3,26.82,10.56,3.14,0,0,0,12.14,2.44,0,0,0,0,0,0,0,0
Uganda ,32.16,47.82,10.21,2.5,0,0,0,5.04,1.07,0,0,0,0,0,0,0,0
Maldives ,20.16,50.67,19.07,3.35,0,0,0,2.5,2.42,0,0,0,0,0,0,0,0
Isle of Man ,52.29,19.25,14.1,9.69,0,1.72,0,0,0,0,0,0,0,0,0,0,0
Botswana ,48.15,21.91,16.21,2.18,0,0,0,7.35,1.88,0,0,0,0,0,0,0,0
Cameroon ,24.67,63.12,6.63,1.19,0,0,0,3.47,0,0,0,0,0,0,0,0,0
Guam ,37.47,24.7,22.19,9,0,2.3,0,0,0,0,0,0,1.29,0,0,0,0
Suriname ,56.71,24.16,11.7,1.46,0,0,0,3.62,0,0,0,0,0,0,0,0,0
Namibia ,54.74,20.12,12.11,3.07,0,0,0,5.72,1.87,0,0,0,0,0,0,0,0
Guadeloupe ,37.62,29.82,21.11,7.14,0,0,0,1.87,0,0,0,0,0,0,0,0,0
Cote dIvoire ,36.48,38.64,19.28,1.63,0,0,0,2.74,0,0,0,0,0,0,0,0,0
Martinique ,40.25,30.89,20.48,4.97,0,0,0,1.09,0,0,0,0,0,0,0,0,0
Jersey ,43.82,16.16,14.64,19.05,2.55,1.37,0,0,0,0,0,0,0,0,0,0,0
Aruba ,47.94,24.12,18.8,6.32,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,53.9,18.24,13.54,10.38,0,0,1.51,0,0,0,0,0,0,0,0,0,0
Cuba ,30.28,61.46,3.96,0,0,0,0,2.55,0,0,0,0,0,0,0,0,0
 ,9.49,79.22,7.68,8.7,0,0,0,2.45,0,0,0,0,0,0,0,0,0
Guernsey ,46.83,18.14,15.48,14.18,0,1.64,0,0,0,0,0,0,1.15,0,0,0,0
Haiti ,55.53,22.08,15.08,3.85,0,0,0,1.51,0,0,0,0,0,0,0,0,0
Afghanistan ,56.62,26.7,9.27,2.59,0,0,0,3.3,0,0,0,0,0,0,0,0,0
Fiji ,41.14,39.24,14.7,3.09,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia ,26.05,46.23,14,11.54,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,32.06,28.74,9.66,2.72,0,0,0,21.58,2.76,0,0,0,0,0,0,0,0
Uzbekistan ,18.59,22.09,11.35,1.44,0,0,0,43.13,1.37,0,0,0,0,0,0,0,0
Madagascar ,20.03,55.24,18.05,2.36,0,0,0,2.83,0,0,0,0,0,0,0,0,0
Guyana ,41.94,33.15,19.75,1.72,0,0,0,1.81,0,0,0,0,0,0,0,0,0
Cape Verde ,58.81,22.93,14.69,2.01,0,0,0,1.1,0,0,0,0,0,0,0,0,0
Zambia ,35.1,28.3,8.44,2.69,0,0,0,21.63,1.84,0,0,0,0,0,0,0,0
Andorra ,48.35,20.97,18.89,8.64,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize ,37.65,39.82,15.63,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,37.57,26.72,27.95,4.99,0,0,0,1.73,0,0,0,0,0,0,0,0,0
New Caledonia ,33.21,33.6,18.99,11.52,0,0,0,1.27,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,43.16,24.33,24.2,6.63,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,41.43,27.94,24.73,3.33,0,0,0,1.28,0,0,0,0,0,0,0,0,0
Malawi ,43.75,21.93,5.46,2.46,0,0,0,21.08,2.74,0,0,0,0,0,0,0,0
