"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","BlackBerry","Opera","Nokia","Maxthon","UC Browser","NetFront","iPod Touch","Sony PS3","Bolt","Windows Media Player","Mozilla"
Cambodia ,31.96,39.6,10.31,3.44,0,1.32,0,5.71,4.18,0,0,1.92,0,0,0,0,0
Bahamas ,48.64,18.9,20.84,8.26,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola ,62.52,17.23,11.44,3.88,0,0,0,3.12,0,0,0,0,0,0,0,0,0
Bermuda ,63.78,12.37,8.27,14.04,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,50.57,24.74,15.67,6.15,0,0,0,1.2,0,0,0,0,0,0,0,0,0
Reunion ,26.73,46.66,15.17,7.48,0,0,0,1.77,0,0,0,0,0,0,0,0,0
Barbados ,39.23,31.05,22.89,4.08,0,0,0,1.33,0,0,0,0,0,0,0,0,0
Mozambique ,49.38,26.59,10.61,2.28,0,0,0,6.02,4.06,0,0,0,0,0,0,0,0
Tanzania ,45.31,26.5,10.78,3.74,0,0,0,10.11,2.13,0,0,0,0,0,0,0,0
Uganda ,32.56,48.26,10.05,2.66,0,0,0,4.56,0,0,0,0,0,0,0,0,0
Ethiopia ,40.42,33.63,9.05,0,0,0,0,11.48,3.3,0,0,0,0,0,0,0,0
Maldives ,20.91,50.38,19.13,3,0,0,0,2.57,2.19,0,0,0,0,0,0,0,0
Isle of Man ,54.57,17.6,13.41,9.77,0,1.6,0,0,0,0,0,0,0,0,0,0,0
Botswana ,51.79,22.43,15.26,2.44,0,0,0,5.39,1.29,0,0,0,0,0,0,0,0
Cote dIvoire ,34.24,41.54,16.52,1.62,0,0,0,4.29,0,0,0,0,0,0,0,0,0
Cameroon ,25.71,62.19,6.7,0,0,0,0,3.54,0,0,0,0,0,0,0,0,0
Guam ,37.87,25.1,20.63,8.98,0,2.16,0,0,0,0,0,0,1.42,1.34,0,0,0
Namibia ,53.91,20.67,11.49,2.82,0,0,0,6.61,2.21,0,0,0,0,0,0,0,0
Suriname ,55.88,23.81,12.06,1.49,0,0,0,3.8,1.02,0,0,0,0,0,0,0,0
Jersey ,47.45,17.18,13.77,16.33,1.54,1.45,0,0,0,0,0,0,0,0,0,0,0
Aruba ,47.86,24.19,18.28,7.07,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,37.64,30.91,19.23,8.16,0,0,0,1.69,0,0,0,0,0,0,0,0,0
Guernsey ,49.88,17.25,13.73,14.76,0,1.55,0,0,0,0,0,0,1.15,0,0,0,0
Martinique ,40.96,30.52,18.21,5.49,0,0,0,2,0,0,0,0,0,0,0,0,0
Cuba ,31.5,59.71,4.44,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0
Afghanistan ,56.16,25.36,9.74,2.94,0,0,0,3.94,1.05,0,0,0,0,0,0,0,0
 ,8.7,77.36,9.53,9.09,0,1,0,3.16,0,0,0,0,0,0,0,0,0
Fiji ,41,40.07,14.09,2.83,0,0,0,1.25,0,0,0,0,0,0,0,0,0
Uzbekistan ,18.51,23.09,10.78,1.41,0,0,0,43.28,1.35,0,0,0,0,0,0,0,0
Haiti ,56.04,23.24,12.94,3.94,0,0,0,1.86,0,0,0,0,0,0,0,0,0
Zimbabwe ,33.34,29.69,9.4,2.78,0,0,0,19.79,2.83,0,0,0,0,0,0,0,0
Belize ,36.12,43.87,13.95,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,45.34,22.94,14.33,12.98,0,0,1.98,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,44.7,26.5,22.82,3.33,0,0,0,1.31,0,0,0,0,0,0,0,0,0
