"Continent","IE","Firefox","Safari","Chrome","Opera","Maxthon","Nokia","iPhone","NetFront","Mozilla","Flock","Windows Media Player"
Mozambique ,54.9,26.41,2.83,5.47,7.06,0,2.67,0,0,0,0,0
Uganda ,43.66,46.1,1.9,5.25,2.2,0,0,0,0,0,0,0
Cameroon ,36.88,57.21,0,3.6,1.06,0,0,0,0,0,0,0
Aruba ,62.1,23.75,4.04,7.64,0,0,0,0,0,0,0,0
Jersey ,57.75,20.79,11.43,6.97,0,0,0,0,0,0,0,0
Martinique ,53.96,31.69,5.53,6.38,1.19,0,0,0,0,0,0,0
Guadeloupe ,50.88,34.72,5.58,6.7,0,0,0,0,0,0,0,0
Maldives ,29.42,51.24,2.49,10.92,3.57,0,0,0,0,0,0,0
Botswana ,60.94,22.79,3.02,7.74,2.57,0,0,0,0,0,0,0
Andorra ,62.68,22.02,5.1,7.7,0,0,0,0,0,0,0,0
 ,5.41,100,1.68,1.53,8.43,0,0,0,0,0,0,0
Guernsey ,60.56,19.59,9.23,7.26,0,0,0,0,0,0,0,0
Namibia ,59.6,19.68,2.55,7.54,6.24,0,2.23,0,0,0,0,0
Cayman Islands ,53.46,22.94,15.1,6.67,0,0,0,0,0,0,0,0
Saint Lucia ,55.68,31.51,2.37,8.68,0,0,0,0,0,0,0,0
Grenada ,51.65,30.31,4.19,11.51,1.22,0,0,0,0,0,0,0
Suriname ,58.76,24.07,1.33,5.3,6.42,0,1.79,0,1.17,0,0,0
Fiji ,50.97,35.79,2.77,8.23,1.14,0,0,0,0,0,0,0
Haiti ,67.33,19.84,3.21,6.57,1.43,0,0,0,0,0,0,0
Saint Kitts and Nevis ,53.12,28.52,5.29,8.77,2.59,0,0,0,0,0,0,0
Cape Verde ,70.85,19.84,1.9,5.74,1.27,0,0,0,0,0,0,0
Antigua and Barbuda ,57.19,25.42,5.14,9.54,1.05,0,0,0,0,0,0,0
Djibouti ,82.87,10.77,0,4.68,0,0,0,0,0,0,0,0
Uzbekistan ,28.75,22.93,1.56,5.28,38.39,1.05,1.32,0,0,0,0,0
Cuba ,40.57,52.03,0,2.68,2.53,0,0,0,0,1.35,0,0
French Guiana ,48.63,40.41,3.38,6.07,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,54.41,30.21,2.71,10.76,0,0,0,0,0,0,0,0
Madagascar ,27.1,59.55,2.33,7.58,1.97,0,0,0,0,0,0,0
Guyana ,54.72,33.53,1.11,6.64,2.29,0,0,0,0,0,0,0
Zambia ,47.41,33.64,1.7,6.51,8.44,0,0,0,0,0,0,0
Gibraltar ,57.71,29.58,3.54,6.77,0,0,0,0,0,0,0,0
Belize ,42.59,44.3,2.66,5.86,1.47,0,0,0,0,0,0,0
New Caledonia ,42.34,37.7,9.85,7.75,1.3,0,0,0,0,0,0,0
Benin ,67.6,22.64,0,2.79,3.07,0,0,0,0,0,2.51,0
Burkina Faso ,61.37,26.37,0,6.35,3.37,0,0,0,0,0,0,0
Mali ,47.3,20.72,14.59,5.22,7.17,0,4.08,0,0,0,0,0
Afghanistan ,69.6,18.7,2.44,5.22,3.14,0,0,0,0,0,0,0
Zimbabwe ,50.69,30.74,2.16,8.09,5.57,0,1.75,0,0,0,0,0
Dominica ,45.32,37.6,4.56,10.33,1.61,0,0,0,0,0,0,0
Northern Mariana Islands ,54.15,30.73,3.56,8.36,0,0,0,0,0,0,0,1.04
Kyrgyz Republic ,50.38,17.84,1.23,4.21,24.61,0,0,0,0,0,0,0
French Polynesia ,36.74,44.22,10.34,6.52,0,0,0,0,0,0,0,0
Mauritania ,61.13,20.97,0,13,1.66,0,1.81,0,0,0,0,0
British Virgin Islands ,59.21,22.63,7.66,5.79,3.31,0,0,0,0,0,0,0
Turks and Caicos Islands ,58.37,22.14,8.69,8.29,0,0,0,0,0,0,0,0
Liechtenstein ,48.23,37.43,7.96,3.86,0,0,0,0,0,0,0,0
Monaco ,52.2,26.88,13.41,5.63,0,0,0,0,0,0,0,0
Malawi ,55.44,19.34,1.23,4.12,15.13,0,3.17,0,0,0,0,0
Papua New Guinea ,70.67,17.9,1.15,6.82,0,0,0,0,0,2.34,0,0
Congo (Democratic Republic of the),56.89,25.49,1.54,8.29,5.6,0,1.17,0,0,0,0,0
Greenland ,52.46,38.66,3.4,3.41,1.42,0,0,0,0,0,0,0
Gabon ,62.43,20.6,2.23,3.85,7.36,0,1.61,0,0,0,0,0
Lesotho ,74.57,14.97,0,3.43,5.26,0,0,0,0,0,0,0
Anguilla ,69.87,16.92,6.01,5.76,0,0,0,0,0,0,0,0
Bhutan ,55.96,26.16,2.25,11.79,2.6,0,0,0,0,0,0,0
Rwanda ,36.82,36.88,3.35,7.19,13.85,0,0,0,0,0,0,0
Somalia ,93.14,4.76,0,1.39,0,0,0,0,0,0,0,0
Togo ,56.14,38.57,0,1.83,1.9,0,0,0,0,0,0,0
Tajikistan ,43.94,20.98,0,4.77,28.11,0,0,0,0,0,0,0
San Marino ,51.82,31.23,9.38,6.14,0,0,0,0,0,0,0,0
Seychelles ,53.68,32.04,2.6,6.83,3.57,0,0,0,0,0,0,0
Gambia ,37.84,49.63,2.05,3.72,4.85,0,0,0,0,0,0,0
Turkmenistan ,52.93,9.95,0,2.24,32.31,0,1.29,0,0,0,0,0
Niger ,58.56,28.92,1.85,3.52,4.25,0,1.55,0,0,0,0,0
Liberia ,58.26,15.25,3.1,4.15,11.71,0,5.94,0,0,0,0,0
Swaziland ,57.9,16.83,1.24,4.13,15.96,0,2.39,0,0,0,0,0
American Samoa ,53.06,29.34,8.5,7.5,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,49.69,40.9,4.33,3.15,1.43,0,0,0,0,0,0,0
Vanuatu ,55.85,32.32,3.44,6.71,0,0,0,0,0,0,0,0
Sierra Leone ,67.72,23.52,0,5.98,1.52,0,0,0,0,0,0,0
Equatorial Guinea ,57.68,17.8,5.39,4.06,9.33,0,2.6,0,1.77,0,0,0
Samoa ,67.06,23.3,4.3,3.67,0,0,0,0,0,0,0,0
Montserrat ,67.16,17.39,3.04,11.06,1.01,0,0,0,0,0,0,0
