"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","Opera","Nokia","BlackBerry","Maxthon","UC Browser","NetFront","iPod Touch","Sony PS3","Chromium","Obigo","Windows Media Player","AppleWebKit"
Puerto Rico ,35.83,19.94,26.98,7.69,4.2,1.45,0,0,0,0,0,0,1.19,1.05,0,0,0,0
Qatar ,44.12,13.98,28.15,4.33,0,1.13,2.78,3.36,0,0,0,0,0,0,0,0,0,0
Armenia ,6.91,23.84,60.79,0,0,0,6.76,0,0,0,0,0,0,0,0,0,0,0
Costa Rica ,28.56,24.87,28.53,3.78,1.24,0,3.21,6.66,0,0,0,1.07,0,0,0,0,0,0
Jordan ,32.86,17.51,39.65,1.58,0,0,3.7,2.74,0,0,0,0,0,0,0,0,0,0
Panama ,44.97,16.98,29.92,4.17,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0
Estonia ,25.04,41.52,23.54,3.9,0,0,4.64,0,0,0,0,0,0,0,0,0,0,0
Latvia ,20.7,40.62,28.85,2.29,0,0,6.17,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,45.08,21.01,22.45,4.86,0,1.25,1.73,1.81,0,0,0,0,0,0,0,0,0,0
Montenegro ,16.31,32.69,41.21,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
El Salvador ,26.56,30.72,36.74,1.71,0,0,2.01,0,0,0,0,0,0,0,0,0,0,0
Honduras ,34.14,21.15,30.46,2.52,0,0,2.74,2.62,1.18,0,0,1.4,0,0,0,0,0,0
Moldova ,19.49,27.58,42.44,0,0,0,8.9,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,54.57,11.91,19.05,4.62,1.15,2.54,2.3,2.02,0,0,0,0,0,0,0,0,0,0
Cyprus ,38.22,26.05,28.89,3.48,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,15.48,27.51,19.65,1.46,0,0,34.77,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,49.34,45.88,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,20.77,12.64,29.42,1.32,0,0,33.06,1.68,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,29.42,23.43,40.19,3.69,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0
Mongolia ,18.97,57.34,17.57,1.57,0,0,2.16,0,0,0,0,0,0,0,0,0,0,0
Oman ,45.71,13.92,20.88,2.11,2.32,0,2.59,8.25,1.8,0,0,0,0,0,0,0,0,0
Kenya ,18.38,39.78,13.73,2.37,1.23,0,21.26,1.59,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,39.68,37.86,10.28,1.24,0,0,2.64,4.91,0,0,0,0,0,0,0,0,0,0
Nepal ,18.46,33.37,30.6,1.5,0,0,12.42,1.16,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,38.89,30.84,26.18,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,26.14,27.86,38.37,3.43,0,0,2.03,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,24.78,36.78,33,1.45,0,0,1.38,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,43.15,27.49,13.33,10.45,0,2.49,1.15,0,0,0,0,0,0,0,0,0,0,0
Iceland ,23.3,27.97,36.31,9.52,0,0,1.43,0,0,0,0,0,0,0,0,0,0,0
Ghana ,16.1,47.61,13.28,2.49,0,0,14.58,1.72,0,0,0,0,0,0,0,0,0,0
Malta ,37.35,19.57,35.67,4.18,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,55.54,12.07,19.84,8.35,1.1,1.94,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,18.56,42.71,16.46,4.45,1.91,3.16,5.65,4.47,0,0,0,1.01,0,0,0,0,0,0
Sudan ,27.91,23.23,7.37,0,0,0,24.56,13.46,0,0,0,0,0,0,0,0,0,0
Bermuda ,60.97,11.63,9.85,15.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal ,21.13,52.62,19.26,1.92,0,0,2.92,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,24,34.5,32.24,2.86,0,0,3.58,1.2,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,15.01,26.14,23.18,8.31,3.31,2.46,10.38,9.12,0,0,0,0,0,0,0,0,0,0
Libya ,30.76,21.1,27.72,0,0,0,10.06,8.32,0,0,0,0,0,0,0,0,0,0
Yemen ,29.82,33.46,27.59,0,0,0,4.64,1.7,0,0,0,0,0,0,0,0,0,0
Macao ,48.88,17.54,18.56,7.23,1.98,2.41,0,0,0,0,0,0,0,0,0,0,0,0
Angola ,55.63,15.85,15.64,6.47,0,0,3.51,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,42.03,15.34,29.65,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,38.2,26.82,12.19,2.89,0,1.12,9.03,7.48,0,0,0,0,0,0,0,0,0,0
