"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","BlackBerry","UC Browser","Nokia","NetFront","Dolfin","Maxthon","TheWorld","SeaMonkey","Flock","Comodo Dragon","iPod Touch","Samsung","Obigo","Iron"
Martinique ,36.15,26.84,25.43,6.41,2.13,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam ,27.98,29.44,18.64,12.92,2.99,3.53,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
Aruba ,41.94,25.73,16.79,9.95,2,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,35.85,15.47,26.07,4.8,0,1.6,8.06,0,1.21,4.61,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,29.85,28.21,26.32,9.8,2.25,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia ,41.94,15.47,21.53,4.33,1.82,1.26,8.01,0,0,3.37,0,0,0,0,0,0,0,0,0,0,0
Botswana ,32.61,20.53,33.74,2.88,0,0,4.7,0,0,1.84,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,12.42,21.64,55.49,2.83,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey ,33.1,22.06,15.46,22.58,1.77,2.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba ,19.4,7.73,69.57,0,0,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey ,37.74,18.83,13.81,19.71,2.83,4.26,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji ,26.9,21.73,39.83,4.58,0,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,29.57,37.93,23.72,5.71,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,28.02,7,16.55,1.84,0,0,37.18,0,1.9,3.92,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,29.57,36.69,24.11,4.7,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti ,36.61,22.58,22.22,6.04,0,0,5.32,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0
 ,8.71,39.43,100,11.29,6.73,2.48,1.25,1.28,0,0,0,0,0,0,0,0,0,1.24,0,0,0
Guyana ,30.74,30.69,31.56,2.58,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,37.89,22.93,18.66,15.92,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra ,31.13,24.47,23.05,9.54,1.76,1.12,7.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,21.96,44.65,25.71,3.47,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia ,22.12,20.69,38.79,14.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,13.74,28.97,14.19,2.68,0,0,36.38,0,0,1.71,0,0,0,0,0,0,0,0,0,0,0
Benin ,14.53,41.89,34.08,1.16,0,0,5.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,26.97,22.51,33.29,13.19,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize ,25.33,26.38,36.58,5.74,1.42,1.09,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde ,45.47,28.16,20.57,2.78,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,20.79,18.12,41.65,3.81,0,0,11.54,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0
Somalia ,14.25,10.93,15.43,0,0,0,50.53,0,2.93,3.59,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,28.76,25.92,32.21,4.9,3.33,1.74,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,28.72,36.3,23.63,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,30.28,30.68,22.69,11.62,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon ,41.96,12.63,30.76,4.57,0,0,5.27,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,13.98,28.67,15.39,1.79,0,0,33.78,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,25.04,5.89,9.39,1.84,0,0,51.46,0,0,3.54,0,0,0,0,0,0,0,0,0,0,0
Bhutan ,16.93,37.72,33.22,3.31,0,0,4.74,0,0,1.57,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,33.67,26.11,21.55,13.44,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,36.51,36.2,16.65,4.09,4.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo ,21.5,13.14,56.2,1.75,0,0,4.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco ,32.68,17.48,22.2,22.11,0,1.52,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica ,30.65,36.56,23.15,5.13,0,0,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,18.7,34.57,31.18,1.81,0,0,6.55,0,0,3.76,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,27.33,16.76,33.54,2.54,0,0,7.48,0,0,4.29,2,0,0,0,0,0,0,0,1.27,0,0
Liechtenstein ,43.8,13.26,23.73,12.68,1.35,2.15,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland ,56.28,13.02,13.96,11.67,1.58,1.36,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,15.63,12.38,48.59,3.41,1.77,1.67,9.46,0,1.13,3.02,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,42.89,22.16,17.1,12.24,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,37.02,23.92,25.65,10.43,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,30.94,26.25,28.27,2.11,0,0,7.73,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,33.38,8.44,13.69,2.87,2.45,0,20.83,0,1.69,7.33,1.07,0,0,0,0,0,0,0,0,6.54,0
Seychelles ,27.5,16.48,31.02,3.76,1.72,0,10.53,0,1.01,4.93,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,35.18,30.28,15.97,13.83,0,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),31.45,14,30.46,3.55,1.14,0,8.4,0,1.91,5.29,1.07,0,0,0,0,0,0,0,0,0,0
Lesotho ,39.1,7.48,13.43,1.61,0,0,26.63,0,1.22,6.15,0,0,0,0,0,0,0,0,0,0,0
Mali ,29.45,15.05,31.79,3.24,1.59,1.25,4.11,0,1.45,5.52,2.58,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,85.58,5.25,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,40.25,28.07,16,10.82,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,34.78,25.71,22.37,10.98,1.45,0,1.15,0,0,0,0,0,0,0,0,0,0,1.23,0,0,0
Sierra Leone ,21.19,10.23,24.17,3.09,1.65,1.12,26.12,0,2.8,6.54,1.01,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,18.67,17.29,11.89,3.84,5.64,4.81,18.6,0,5.46,11.57,0,0,0,0,0,0,0,0,0,0,0
Niger ,24.81,11.59,20.81,2.81,0,0,17.74,0,4.53,11.87,2.07,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),30.97,13.71,35.24,5.15,1.06,0,7.3,0,1.33,1.2,1.35,0,0,0,0,0,0,0,0,0,0
Liberia ,32.44,11.83,24.33,5.23,1.39,1.19,14.97,0,0,6.36,0,0,0,0,0,0,0,0,0,0,0
Burundi ,29.91,15.34,39.61,3.31,0,0,7.34,0,0,1.43,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,33.23,12.36,29.04,2.18,0,0,16.38,0,1.04,3.02,0,0,0,0,0,0,0,0,0,0,0
