"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Opera","UC Browser","Nokia","NetFront","Dolfin","BlackBerry","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","IEMobile","iPod Touch","Sony PS3","Obigo","RockMelt","AppleWebKit","Samsung","Openwave Mobile Browser","Unknown","Pale Moon"
Jamaica ,19.23,44.09,24.3,4.71,0,1.39,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan ,13.4,8.38,22.45,0,0,3.17,32.62,1.1,14.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana ,10.15,15.4,42.81,3,0,2.51,18.45,1.85,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,20.16,42.05,29.57,2.09,0,1.42,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia ,9.4,28.23,51.09,3.29,0,3.74,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman ,27.05,23.04,11.84,3.06,1.5,12.22,2.14,4.4,11.56,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta ,28.65,41.52,17.87,6.5,1.41,2,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,16.23,38.8,29.59,3.96,0,2.08,4.48,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya ,17.83,36.9,20.12,2.05,1.05,2.84,9.52,0,8.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,9.33,20.45,37.93,6.27,6.21,6.11,6.07,1.11,4.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal ,18.36,25.68,46.2,2.74,0,1.49,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda ,51.98,13.88,9.41,21.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,27.2,20.5,29.85,13.48,4.08,2.61,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,9.95,22.79,22.02,8.11,2.69,9.47,16.58,0,6.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,24.38,11.95,32.92,3.79,0,2.27,15.19,1.55,5.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,19.02,10.22,21.31,2.56,0,1.18,40.09,0,2.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,32.93,33.04,14.11,10.68,1.53,2.78,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0
Barbados ,23.42,37.95,25.66,6.3,0,1.69,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,32.12,28.69,14.61,8.66,4.72,7.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana ,56.87,20.53,16.69,2.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion ,17.03,26.83,38.01,9.03,2.29,3.81,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,14.06,13.39,42.52,3.03,0,2.22,17.98,1.09,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,10.73,12.88,30.92,1.36,0,1.02,28.48,3.45,8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives ,8.64,34.57,37.29,4.81,1.42,2.81,3.31,1.02,4.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola ,39.88,18.33,15.52,9.11,1.45,3.59,6.74,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,10.32,12.45,64.82,1.68,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,14.63,31.56,38.85,2.52,0,1.61,5.6,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,17.53,18.83,23.98,4.37,2.56,2.35,17.7,0,10.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,35.96,30.46,15.64,10.9,1.62,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname ,37.81,26.6,22.49,4.86,0,2.43,2.04,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,6.9,23.5,15.27,1.94,1.51,2.38,40.9,0,5.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,39.44,21.49,15.33,17.16,3.15,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam ,24.68,31.57,15.39,14.77,3.74,4.62,0,0,0,0,0,0,0,0,0,0,0,2.64,0,0,0,0,0,0,0,0
Guadeloupe ,26.71,31.33,22.89,9.53,1.22,5.11,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,29.11,17.46,19.17,4.31,0,1.82,16.17,1.39,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba ,14.33,9.97,72.18,0,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia ,38.57,18.64,19.77,5.36,1.64,2.9,8.93,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba ,37.61,27.56,14.57,11.44,2.26,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,23.28,10.97,21.78,3.59,0,3.18,29.21,1.19,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
