"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Yandex Browser","Opera","BlackBerry","UC Browser","Nokia","NetFront","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","IEMobile","iPod Touch","Silk","Obigo","Phantom","Iron","Pale Moon"
Moldova ,6.98,63.47,19.26,1.5,0,1.39,0,5.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,4.04,71.46,15.24,1.99,0,0,1.05,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras ,20.49,46.01,18.65,4.24,1.83,3.29,0,2.1,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya ,9.92,17.07,34.35,3.31,0,3.82,0,23.66,0,1.96,3.85,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,15.51,49.04,21.36,4.85,1.17,2.77,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan ,9.28,9.98,21.02,0,0,4.62,0,34.59,0,2.08,14.59,0,0,0,0,0,0,0,0,0,0,0,0
Yemen ,8.19,33.86,32.18,1.37,3.71,7.46,0,9.55,0,1.04,1.59,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,19.66,30.76,15.02,7.76,5.68,14.02,0,2.74,0,0,2.56,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,11.67,20.99,37.28,1.4,1.32,9.35,0,3.62,0,2.87,9.03,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,14.95,45.54,26.25,2.13,1.21,2.32,0,3.78,0,0,1.46,0,0,0,0,0,0,0,0,0,0,0,0
Iceland ,14.94,46.59,20.72,12.62,1.36,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,43.37,23.44,8.5,17.53,3.57,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,2.51,5.9,43.34,2.64,3.31,36.29,0,2.48,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta ,22.35,47.89,14.4,8.13,1.8,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman ,21.38,25.5,9.65,3.18,2.16,16.14,0,1.48,1.75,7.13,10.64,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,27.04,24.97,9.47,6.81,5.33,16.17,0,2.51,1.04,1.76,3.55,0,0,0,0,0,0,0,0,0,0,0,0
Ghana ,8.22,15.98,36.84,3.29,0,4.94,0,18.01,0,6.35,2.89,0,0,0,0,0,0,0,0,0,0,0,0
Libya ,13.17,37.99,20.11,2.83,1.66,6.46,0,10.16,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,13.78,41.83,26.67,4.27,0,3.97,0,4.1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia ,5.61,33.83,45.37,3.92,1.39,7.11,0,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,15.13,9.98,17.51,1.86,0,1.68,0,45.81,0,2.13,4.35,0,0,0,0,0,0,0,0,0,0,0,0
Senegal ,16.95,33.11,38.2,3.21,1.15,2.74,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,7.21,21.94,32.23,6.67,9.1,9.73,0,4.66,0,2.89,3.99,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda ,48.48,15.43,8.18,23.28,1.51,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados ,20.54,45.33,19.34,6.61,1.17,3.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,9.12,26.03,19.96,9.38,3.42,11.59,0,15.74,0,0,2.92,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,24.82,23.37,25.8,14.47,5.18,4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,19.06,12.1,30.1,3.55,0,4.7,0,17.44,0,3.82,6.37,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,29.44,35.27,11.66,12.4,2.3,4.28,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0
Zambia ,22.61,9.6,18.34,2.97,1.21,4.84,0,31.39,0,1.52,3.88,1.23,0,0,0,0,0,0,0,0,0,0,0
Reunion ,15.01,30.19,33.67,9.32,2.86,6.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,25.89,32.97,13.21,9.47,6.11,9.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,8.86,14.37,28.13,1.19,1.27,1.76,0,26.08,0,9.05,7.3,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,10.72,14.55,38.42,2.96,0,3.84,0,19.63,0,2.95,4.07,0,0,0,0,0,0,0,0,0,0,0,0
Maldives ,6.99,39.88,33.05,5.32,2.25,5.13,0,2.27,0,1.33,2.4,0,0,0,0,0,0,0,0,0,0,0,0
Angola ,28.24,18.88,12.33,6.71,2.22,6.82,0,19.8,0,0,2.39,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,11.78,33.74,34.16,3.2,0,3.86,0,6.17,0,1.61,1.72,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,9.57,14.15,57.97,2.13,0,1.65,0,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,22.2,36.58,21.16,10.64,1.14,5.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname ,32.58,31.4,19.91,4.91,1.45,5.18,0,1.36,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam ,20.97,33.1,12.61,16.86,4.83,7.13,0,0,0,0,0,0,0,0,0,0,0,2.23,0,0,0,0,0
Lao Peoples Democratic Republic ,13.52,20.23,19.72,5.41,5.67,5.04,0,16.24,0,2.17,10.22,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,36.41,23.26,12.28,19.95,3.48,2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,31.04,35.76,12.13,11.82,2.21,3.71,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique ,25.98,36.59,18.34,7.4,1.27,7.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana ,19.54,43.62,26.85,3.35,0,1.97,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,6.57,26.51,13.27,2.02,2.51,4.06,0,36.46,0,1.61,4.75,0,0,0,0,0,0,0,0,0,0,0,0
Cuba ,14.15,9.72,72.84,0,0,0,0,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
