"Continent","IE","Firefox","Chrome","Safari","BlackBerry","Android","iPhone","Nokia","Opera","Maxthon","UC Browser","NetFront","Sony PS3","Bolt","iPod Touch","Windows Media Player","Camino","Mozilla","Sony PSP"
Luxembourg ,34.68,39.37,10.31,11.65,0,0,1.75,0,1.19,0,0,0,0,0,0,0,0,0,0
Myanmar ,29.56,65.89,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,33.47,33.96,25.54,3.51,0,0,0,0,2.04,0,0,0,0,0,0,0,0,0,0
Nepal ,34.71,33.38,18.26,1.28,0,0,0,0,10.72,0,0,0,0,0,0,0,0,0,0
Macao ,62.59,18.05,10.55,4.29,0,0,1.17,0,0,1.32,0,0,0,0,0,0,0,0,0
Mauritius ,27.44,40.26,23.73,2.58,0,0,0,1.05,4.14,0,0,0,0,0,0,0,0,0,0
Senegal ,29.91,53.32,13.09,1.6,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0
Armenia ,18.43,39.65,28.59,1.1,0,0,0,0,11.67,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,63.84,14.56,13.6,5.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,46.41,24.67,5.19,1.48,0,0,0,11.67,8.21,0,0,0,0,0,0,0,0,0,0
Cambodia ,37.05,37.97,7.96,3.13,0,0,1.11,4.57,4.91,0,0,2.15,0,0,0,0,0,0,0
Bahamas ,51.26,19.43,18.01,8.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola ,64.48,18.3,10.01,3.28,0,0,0,0,2.53,0,0,0,0,0,0,0,0,0,0
Bermuda ,61.2,12.58,7.41,14.86,0,0,0,0,2.51,0,0,0,0,0,0,0,0,0,0
Ethiopia ,41.97,30.17,8.75,0,0,0,0,2.4,14.86,0,0,0,0,0,0,0,0,0,0
Barbados ,39.86,31.95,21.47,4.15,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,52.57,25.06,14.46,5.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion ,27.06,47.77,14.01,7.46,0,0,0,0,1.78,0,0,0,0,0,0,0,0,0,0
Tanzania ,47.57,27.44,8.22,3.22,0,0,0,1.95,10.28,0,0,0,0,0,0,0,0,0,0
Isle of Man ,56.45,18.88,11.43,9.03,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0
Maldives ,21.45,51.75,17.55,3.17,0,0,0,1.9,2.68,0,0,0,0,0,0,0,0,0,0
Mozambique ,48.92,27.26,10.52,1.97,0,0,0,4,6.29,0,0,0,0,0,0,0,0,0,0
Uganda ,36.54,45.95,9.6,2.42,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0
Guam ,41.51,26.21,18.59,8.39,0,0,2.09,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,40.08,38.76,12.97,1.46,0,0,0,1.18,4.27,0,0,0,0,0,0,0,0,0,0
Cameroon ,26.88,61.32,5.57,0,0,0,0,0,2.72,0,0,0,0,0,0,0,0,0,0
Guernsey ,49.04,15.2,10.13,13.64,0,0,2.14,0,7.75,0,0,0,0,0,1.06,0,0,0,0
Jersey ,49.25,19.06,11.73,15.44,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0
