"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","Nokia","UC Browser","NetFront","Dolfin","BlackBerry","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","IEMobile","iPod Touch","Sony PS3","Obigo","Samsung","Openwave Mobile Browser","Unknown","Phantom","RockMelt"
Somalia ,12.34,12.85,14.84,0,0,0,52.54,3.65,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan ,15.38,39.44,28.39,4.29,0,0,6.42,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,12.06,31.87,13.01,2.41,2.17,0,32.63,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde ,36.94,35.56,19.62,3.53,0,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,12.86,37.61,32.57,2.06,1.06,0,6.11,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,22.85,29.27,25.49,2.11,1.11,0,10.85,4.23,1.01,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,39.56,15.11,25.94,13.33,1.47,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali ,20.41,15.41,31.18,2.88,2.64,1.25,10.25,5.7,1.59,2.54,0,0,0,0,0,0,0,0,0,0,1.25,1.16,0,0,0
Gibraltar ,31.28,26.82,19.73,15.39,1.66,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco ,29.44,19.02,20.08,25.11,1.34,1.94,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,42.33,24.42,13.94,13.35,1.2,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,24.23,17.24,36.27,2.78,1.76,0,9.08,2.27,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon ,30.1,16.53,26.65,7.25,2.04,0,11.5,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland ,51.39,15.99,13.42,12.39,1.86,1.75,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles ,33.8,20.5,27.35,4.8,1.95,0,4.79,3.69,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,14.44,13.55,46.25,3.13,4.15,2.17,9.44,2.53,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,35.28,31.85,15.5,12.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),26.86,16.94,30.13,4.34,1.95,0,9.83,3.93,1.85,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,35.47,23.33,24.39,12.16,1.36,1.56,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,35.04,11.31,16.69,2.91,1.93,0,24.26,4.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,42.22,11.3,16.67,2.57,0,0,20.01,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
