"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Yandex Browser","Opera","BlackBerry","UC Browser","Nokia","NetFront","Sogou Explorer","Maxthon","QQ Browser","360 Safe Browser","IEMobile","iPod Touch","Silk","Obigo","Phantom","Iron","Samsung","Openwave Mobile Browser","Pale Moon"
Belarus ,9.35,33.81,19.95,1.89,0,1.67,1.17,29.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,15.22,50.55,20.42,4.68,1.09,2.71,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras ,19.97,46.88,18.68,4.24,1.8,3.15,0,1.88,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,2.01,6.62,45.79,2.67,2.86,33.95,0,2.53,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan ,9.15,9.9,20.34,0,0,4.88,0,33.97,0,2.43,15.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,18.02,31.17,14.53,7.68,5.57,15.07,0,3.08,0,0,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen ,7.59,33.13,31.56,1.27,3.54,7.87,0,10.94,0,1.41,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,14.67,45.3,25.28,2.14,1.11,2.55,0,4.25,0,0,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland ,14.59,46.75,20.69,13.13,1.39,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman ,19.82,26.27,9.22,3.27,2.01,15.34,0,1.73,1.59,8.34,11.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta ,21.62,49.01,14.17,8.05,1.74,3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,42.84,24.12,8.24,17.79,3.51,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya ,12.8,38.61,19.61,2.99,2.03,6.85,0,9.47,0,0,5.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,10.95,22.42,35.87,1.33,1.33,9.67,0,3.34,0,3.76,8.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,25.42,25.98,8.86,7.02,5.3,16.96,0,2.96,1.11,1.82,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana ,7.98,16.26,36.36,3.31,0,4.52,0,17.71,0,7.41,2.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,13.9,42.38,25.93,4.32,0,3.9,0,3.98,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,14.46,9.64,16.8,1.81,0,1.78,0,46.37,0,2.47,5.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia ,5.3,35.83,42.8,4.12,1.66,7.52,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
