"Continent","IE","Chrome","Safari","Firefox","iPhone","Android","Yandex Browser","Opera","UC Browser","Nokia","NetFront","BlackBerry","Sogou Explorer","Maxthon","QQ Browser","360 Safe Browser","CoRom+","Puffin","IEMobile","Unknown","Chromium","iPod Touch","Openwave Mobile Browser","Phantom","Obigo","Silk","Dolfin","Iron"
Ecuador ,10.62,47.8,3.51,26.98,1.25,3.83,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,6.89,32.82,1.32,21.42,0,5.56,0,16.29,3.3,6.02,2.3,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0
Macedonia ,4.42,59.01,1.23,25.84,1.27,2.91,0,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,3.26,4.47,0,10.73,0,0,0,72.94,4.04,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya ,4.53,11.56,1.72,20.76,0,2.5,0,45.38,1.92,7.55,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana ,2.97,7.9,1.38,14.61,0,2.76,0,61.38,4.72,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,3.46,4.17,1.03,8.08,0,2.61,0,65.79,3.69,7.41,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,17.23,41.37,4.38,15.11,3.74,6.94,0,7.5,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,10.81,44.4,3.21,28.88,0,3.25,0,6.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,9.64,57.64,4.72,13.79,2.46,3.95,0,4.12,0,0,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar ,16.73,40.54,6.75,9.14,2.71,6.53,0,11.16,2.58,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,10.1,56.43,2.01,23.51,0,2.22,0,2.11,0,0,0,0,0,0,0,0,0,0,0,0,1.49,0,0,0,0,0,0,0
Sudan ,3.96,5.86,0,9.41,0,3.35,0,62.17,2.38,10.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania ,14.5,40.81,2.63,30.36,0,2.31,0,7.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,6.44,43.74,1.89,4.47,1.95,4.93,2.27,29.98,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,16.26,39.36,4.49,32.95,0,3.48,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan ,9.78,47.06,2.84,11.58,2.36,9.04,0,11.34,0,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,5.66,5.88,0,7.41,0,1.06,0,72.82,1.57,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia ,17.95,36.27,2.38,27.04,2.01,5.79,0,6.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia ,3.7,55.3,1.55,7.76,0,1.1,0,27.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica ,13.66,39.76,5.57,15.38,3.25,7.88,0,8.33,0,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,20.55,34.5,10.79,12.4,5.72,11.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0,0
Nepal ,3.55,29.3,1.45,16.35,1.5,3.42,0,35.48,4.91,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador ,13.94,46.4,3.62,20.76,1.56,4.04,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro ,7.44,49.4,2.19,24.2,1.2,6.28,0,6.01,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,1.38,6.18,0,2.47,0,1.15,0,84.6,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,20.37,45.74,7.09,17.64,1.9,3.69,0,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,6.89,33.21,2.5,11.09,1.73,3.79,1.75,36.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,10.57,46.22,1.34,21.64,0,4.65,0,8.18,0,4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus ,7.74,30.21,1.77,15.65,0,2.12,1.98,38.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait ,15.4,26.59,8.4,7.31,12.6,9.86,0,15.76,1.07,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,12.48,50.09,1.58,25.4,1.43,3.7,0,2.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,4.01,6.87,1.12,15.56,0,2.29,0,62.94,2.29,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia ,15.23,44.45,5.73,26.94,0,2.76,0,2.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,16.67,50.52,6.22,14.29,1.47,5.71,0,1.35,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,12.19,43.61,4.19,30.69,0,2.33,0,4.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova ,5.58,62.55,1.66,15.14,0,1.79,1.04,10.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,14.21,49.83,4.53,17.53,1.44,4.1,0,3.47,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama ,24.32,41.65,6.65,11.45,1.52,9.81,0,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,3.25,62.75,2.39,11.4,1.08,1.18,1.25,15.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,13.93,33.51,7.72,13.01,5.76,15.92,0,5.77,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen ,4.97,28.95,1.4,24.91,4.45,9.6,0,21.22,2.07,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman ,13.06,24.72,2.57,6.94,2.65,24.21,0,2.33,5.05,14.57,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras ,14.74,46.56,4.42,16.88,2.41,5.49,0,5.51,0,0,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola ,14.91,11.89,4.29,6.27,1.45,2.75,0,55.43,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland ,14.72,48.29,12.63,18.38,1.85,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,12.34,7.34,1.77,11.62,0,3.48,0,50.8,2.4,5.01,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,1.64,8.74,2.62,40.44,2.47,32.21,0,8.43,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,19.49,28.95,5.74,7.51,5.7,19.08,0,4.72,2.72,2.94,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya ,8.16,33.09,2.55,14.2,1.86,7.16,0,26.05,1.14,4.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta ,18.9,49.51,8.59,14.01,2.07,3.93,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,11.32,44.93,2.49,22.04,1.42,3.02,0,8.11,1.08,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,11.06,11.3,2.06,8.22,0,2.46,0,49.91,3.91,7.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,10.21,39.72,3.83,19.51,0,4.34,0,15.4,1.24,2.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,7.64,25.58,1.19,32.43,1.26,10.39,0,10.38,4.03,5.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados ,18.42,48.23,7.12,15.87,1.08,3.59,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,25.07,28.57,13.15,23.09,4.54,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,38.36,24.76,20.67,7.85,4.35,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,6.25,28.5,9.9,15.2,3.96,11.68,0,20.63,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,4.76,20.31,5.23,23.85,6.45,9.81,0,18.34,5.18,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia ,3.75,37.12,4.95,38.32,2.34,9.39,0,2.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal ,12.85,34.38,3.21,28.56,1.31,3.25,0,12.15,1.06,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,6.66,6.18,0,6.87,0,1.27,0,68.88,2.32,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),3,3.56,1.07,4.94,0,2.36,0,66.6,2.63,3.77,4.82,0,0,0,0,0,0,0,0,1.81,0,0,1.26,0,0,0,0,0
Bermuda ,46.21,18.42,23.56,7.01,1.49,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,3.93,19.85,1.06,4.37,0,2.06,0,64.74,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,5.43,22.53,1.77,20.9,0,3.32,0,33.7,2.04,1.77,1.99,0,0,0,0,0,0,0,0,0,0,0,0,2.21,1.47,0,0,0
Namibia ,13.62,13.74,2.56,7.12,0,3.14,0,49.93,1.01,5.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,25.36,40.23,11.71,10.17,2.53,5.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0
Tajikistan ,2.43,11.37,0,2.32,0,1.82,0,77.01,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,3.24,8.18,1.33,11.96,0,1.14,0,68.64,2.55,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia ,2.36,2.73,0,2.28,0,1.51,0,85.16,2.02,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea ,1.62,2.49,0,3.25,0,2.08,0,84.12,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives ,5.39,41.8,4.82,24.28,2.32,6.3,0,6.33,1.69,5.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,21.05,38.77,8.68,11.42,6.64,9.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,1.52,1.42,0,2.93,0,0,0,86.94,3.58,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,8.54,18.45,4.42,15.55,6.21,5.83,0,26.41,4.92,6.51,0,0,0,0,0,0,0,0,2.31,0,0,0,0,0,0,0,0,0
Mali ,4.24,4.41,0,6.2,0,2.39,0,60.17,2.94,3.08,5.69,0,0,0,0,0,0,0,0,0,0,0,2.59,3.03,1.43,0,0,0
Papua New Guinea ,6.14,4.21,0,2.99,0,8.57,0,51.68,3.41,13.34,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,4.71,0,0,0
Reunion ,13.04,32.29,9.91,31.06,2.83,7.43,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,6.78,12.46,2.56,43.07,0,2.51,0,20.95,5.49,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia ,2.71,8.39,0,5.98,0,1.08,0,71.55,4.72,3.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname ,23.38,36.57,6.79,14.83,2.15,8.52,0,3.09,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana ,15.49,49.38,3.72,21.35,1.15,2.76,0,1.86,0,0,0,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam ,19.63,35.17,15.73,11.55,5.96,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74,0,0,0,0,0,0
Netherlands Antilles ,26.75,39.69,11.87,10.3,2.63,4.51,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique ,23.68,39.53,6.86,15.11,1.46,9.91,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,20.08,38.34,9.47,20.01,1.48,7.7,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger ,3.58,3.48,1.13,5.46,0,1.89,0,69.24,4.51,5.26,2.15,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0
Burkina Faso ,7.03,6.42,1.37,13.81,0,2.45,0,57.81,3.79,1.82,1.29,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0
Cuba ,14.8,10.89,0,70.64,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,19.01,45.38,9.41,12.95,1.73,5.71,0,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,4.73,22.96,2.79,36.74,0,2.43,0,23.57,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
