"Continent","IE","Firefox","Safari","Chrome","BlackBerry","iPhone","Android","Opera","Nokia","Maxthon","UC Browser","NetFront","Sony PS3","Bolt","Motorola Internet Browser","Camino","Samsung","Windows Media Player","Mozilla"
Trinidad and Tobago ,40.03,28.74,3.4,24.61,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0
Sudan ,49.05,20.94,0,3.85,0,0,0,13.51,10.61,0,0,0,0,0,0,0,0,0,0
Moldova ,20.42,43.99,0,19.97,0,0,0,14.36,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,28.73,66.44,0,2.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta ,50.64,24.69,3.21,18.63,0,0,0,1.57,0,0,0,0,0,0,0,0,0,0,0
Iceland ,33.98,35.83,9.77,18.05,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0
Kenya ,28.34,39.67,2.1,8.83,0,0,0,17.55,1.97,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,17.83,30.15,4.74,13.04,0,0,0,11.19,19.32,0,0,1.25,0,0,0,0,0,0,0
Kazakhstan ,24.91,30.43,1.06,8.73,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0
Ghana ,22.08,56.83,1.42,6.7,0,0,0,10.24,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,40.07,17.22,1.3,10.46,0,0,0,29.44,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,35.84,40.2,10.79,9.07,0,1.68,0,1.51,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,36.18,35.84,3.02,21.68,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
Senegal ,25.09,62.28,1.24,9.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,65.65,18.06,3.92,8.23,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0
Nepal ,38.33,33.03,1.44,17.15,0,0,0,8.61,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,30.38,40.69,2.81,19.8,0,0,0,4.15,1.36,0,0,0,0,0,0,0,0,0,0
Bermuda ,65.89,12.53,12.72,5.98,0,0,0,1.46,0,0,0,0,0,0,0,0,0,0,0
Angola ,68.18,17.02,2.77,8.59,0,0,0,2.32,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,56.48,20.11,6.52,14.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,48.38,23.33,1.44,4.07,0,0,0,13.45,8.43,0,0,0,0,0,0,0,0,0,0
Armenia ,19.58,41.48,1.31,24.01,0,0,0,12.95,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,65.87,15.58,4.51,11.49,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,36.94,34.27,2.85,7.12,0,1.03,0,7.41,5.95,0,0,3.24,0,0,0,0,0,0,0
Netherlands Antilles ,59.3,21.25,5.17,11.99,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,50.54,30.23,0,7.15,0,0,0,7.47,2.75,0,0,0,0,0,0,0,0,0,0
Barbados ,41.86,33.51,3.29,18.5,0,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0
Reunion ,31.86,45.48,6.87,12.72,0,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,45.07,35.8,1.25,9.97,0,0,0,4.46,1.19,0,0,0,0,1.33,0,0,0,0,0
Tanzania ,51.01,26.05,3.38,7.65,0,0,0,9.02,1.86,0,0,0,0,0,0,0,0,0,0
Mozambique ,49.82,29.01,2.15,8.67,0,0,0,6.28,3.23,0,0,0,0,0,0,0,0,0,0
Isle of Man ,59.79,18.72,8.51,9.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam ,46.19,26.38,7.58,14.76,0,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,39.31,46.77,2.3,7.97,0,0,0,2.34,0,0,0,0,0,0,0,0,0,0,0
Maldives ,24.79,50.69,2.93,15.54,0,0,0,2.71,1.8,0,0,0,0,0,0,0,0,0,0
Cameroon ,27.89,62.56,0,4.48,0,0,0,2.73,0,0,0,0,0,0,0,0,0,0,0
Jersey ,53.79,18.05,14.45,9.4,0,1.19,0,1.08,0,0,0,0,0,0,0,0,0,0,0
Botswana ,54.63,25.57,2.6,11.2,0,0,0,3.42,1.22,0,0,0,0,0,0,0,0,0,0
Namibia ,57.46,20.15,2.41,9.13,0,0,0,6.19,2.29,0,0,0,0,0,0,0,0,0,0
Aruba ,56.25,22.72,5.27,13.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,44.8,31.86,6.89,13.63,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0
Martinique ,47.83,31.2,4.91,12.44,0,0,0,1.81,0,0,0,0,0,0,0,0,0,0,0
Suriname ,59.25,22.4,1.42,9.26,0,0,0,4.25,1.57,0,0,0,0,0,0,0,0,0,0
Guernsey ,53.11,16.77,11.72,9.61,0,1.16,0,5.85,0,0,0,0,0,0,0,0,0,0,0
 ,23.67,9.54,23.3,13.94,0,29.54,0,3.47,0,0,0,0,0,0,0,0,0,0,0
Fiji ,45.9,37.61,2.59,11.86,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,50.19,26.12,10.15,10.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,45.08,27.58,5.8,18.44,0,0,0,1.91,0,0,0,0,0,0,0,0,0,0,0
Haiti ,60.98,20.23,4.61,11.41,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,50.39,28.83,2.95,15.65,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0
Andorra ,53.94,22.04,7.3,14.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba ,35.22,56.92,0,4.01,0,0,0,2.38,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,25.8,57.53,2.25,9.89,0,0,0,3.14,0,0,0,0,0,0,0,0,0,0,0
Zambia ,43.09,28.4,2.29,7.83,0,0,0,15.88,0,0,0,0,0,0,0,0,0,0,0
Guyana ,47.94,34.04,1.47,12.77,0,0,0,2.09,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,62.29,22.79,1.89,6.52,0,0,0,4.52,0,0,0,0,0,0,0,0,0,0,0
French Polynesia ,35.22,42.7,10.82,9.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,23.33,23.51,1.07,7.47,0,0,0,39.9,1.42,2.16,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,48.31,26.42,7.15,15.54,0,0,0,1.46,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,40.93,32.69,2.78,8.93,0,0,0,9.76,3.61,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,51.72,25.74,5.85,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,66.76,19.6,1.53,9.08,0,0,0,1.65,0,0,0,0,0,0,0,0,0,0,0
Cape Verde ,66.29,20.86,1.95,9.42,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,42.5,32.64,9.58,13.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,56.59,23.16,4.14,13,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,60.15,19.96,8.14,9.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize ,38.27,40.96,2.98,10.12,0,0,0,2.84,0,0,0,0,0,0,1.67,0,0,0,0
Gibraltar ,53.45,25.74,5.21,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,42.36,40.46,3.32,12.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin ,51.44,31.13,0,4.82,0,0,0,10.84,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,46.58,30.23,3.18,17.5,0,0,0,1.59,0,0,0,0,0,0,0,0,0,0,0
Malawi ,44.18,19.51,2.43,5.84,0,0,0,22.42,3.54,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,41.38,38.03,11.57,6.59,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0
Dominica ,42.36,30.67,5.96,18.22,0,0,0,1.86,0,0,0,0,0,0,0,0,0,0,0
Mali ,52.13,26.51,2.1,7.6,0,0,0,7.65,1.36,0,0,0,0,1.07,0,0,0,0,0
Monaco ,45.99,25.9,16.2,8.69,0,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,54.42,29.95,1.58,6.72,0,0,0,5.37,1.09,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,63.11,22.66,2.61,9.71,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,47.5,29.42,1.23,18.29,0,0,0,1.47,1.56,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),51.14,31.23,2.48,6.82,0,0,0,4.45,2.3,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,56.49,21.11,6.69,13.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,35.38,19.09,1.28,10.05,0,0,0,32.15,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,67.54,18.27,1.09,6.29,0,0,0,4.56,1.05,0,0,0,0,0,0,0,0,0,0
Seychelles ,50,31.02,3.66,9.98,0,0,0,2.86,1.29,0,0,0,0,0,0,0,0,0,0
Bhutan ,46.1,30.24,2.29,17.34,0,0,0,2.55,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,35.48,40.94,3.2,9.53,0,0,0,8.46,1.45,0,0,0,0,0,0,0,0,0,0
Greenland ,65.41,19.18,6.82,5.34,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0
Gabon ,53.15,23.26,2.5,7.69,0,0,0,9.54,1.71,0,0,0,0,0,0,0,0,0,0
Togo ,43.67,47.24,0,4.27,0,0,0,2.02,1.09,0,0,0,0,0,0,0,0,0,0
Anguilla ,66.63,17.91,4.2,9.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,51.56,26.14,9.61,11.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,31.21,54.71,1.29,5.33,0,0,0,5.37,1.04,0,0,0,0,0,0,0,0,0,0
Tajikistan ,36.54,22.19,1.17,8.59,0,0,0,29.71,1.14,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,33.32,16.38,0,5.98,0,0,0,41.18,1.63,0,0,0,0,0,0,0,0,0,0
Swaziland ,54.27,14.67,1.51,8.37,0,0,0,16.64,2.69,0,0,0,0,0,0,0,0,0,0
Niger ,51.99,31.2,3.55,5.89,0,0,0,5.28,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,59.18,27.14,2.11,7.03,0,0,0,3.64,0,0,0,0,0,0,0,0,0,0,0
Liberia ,49.85,21.05,1.54,5.88,0,0,0,15.31,4.36,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,62.32,14.78,1.22,5.14,0,0,0,11.62,3.34,0,0,0,0,0,0,0,0,0,0
American Samoa ,46.4,30.93,8.12,12.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia ,84.03,9.95,0,2.41,0,0,0,2.95,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,51.22,33.53,3.59,9.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,48.43,38.86,4.43,7.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia ,53.07,30.4,4.58,9.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,59.07,18.27,6.04,6.82,0,0,0,6.52,2.61,0,0,0,0,0,0,0,0,0,0
Samoa ,60.51,26.61,2.57,7.68,0,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),46.35,26.31,1.51,3.75,0,0,0,10.44,9.19,0,0,0,0,0,0,0,0,0,0
Eritrea ,63.18,31.38,0,3.1,0,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,35.07,43.32,2.15,5.79,0,0,0,5.73,6.59,0,0,0,0,0,0,0,0,0,0
