"Continent","IE","Firefox","Chrome","Safari","BlackBerry","Android","iPhone","Opera","Nokia","Maxthon","UC Browser","NetFront","Bolt","Mozilla","Motorola Internet Browser","Windows Media Player","Camino","Samsung","iPod Touch"
Cyprus ,51.84,28.35,14.62,2.49,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0
El Salvador ,40.42,37.19,16.11,1.75,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Montenegro ,24.81,38.3,26.43,0,0,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0
Georgia ,19.77,19.9,17.22,0,0,0,0,41.81,0,0,0,0,0,0,0,0,0,0,0
Libya ,45.41,18.57,18.96,0,0,0,0,7,8.54,0,0,0,0,0,0,0,0,0,0
Nicaragua ,37.87,45.32,12.96,1.01,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0
Moldova ,19.63,43.35,21.4,0,0,0,0,14.4,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,38.65,28.1,26.93,3.16,0,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0
Yemen ,55.95,24.09,13.19,0,0,0,0,4.15,1.3,0,0,0,0,0,0,0,0,0,0
Myanmar ,26.72,68.76,2.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan ,47.5,21.91,4.06,0,0,0,0,13.34,10.88,0,0,0,0,0,0,0,0,0,0
Kenya ,28.13,41.16,9.03,2.06,0,0,0,16.37,1.83,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,23.97,29.7,9.04,1.08,0,0,0,35.34,0,0,0,0,0,0,0,0,0,0,0
Malta ,49.9,24.2,19.84,3.22,0,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0
Iceland ,31.82,34.09,19.02,9.29,0,0,0,4.97,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,17.07,29.81,14.51,5.02,0,0,0,9.54,19.97,0,0,1.29,0,0,0,0,0,0,0
Ghana ,22.12,55.77,7.15,1.62,0,0,0,10.07,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,35.22,40.61,9.46,11.06,0,0,1.58,1.21,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,35.27,35.08,22.91,3.09,0,0,0,2.16,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,38.7,17.22,11.66,1.31,0,0,0,29.66,0,0,0,0,0,0,0,0,0,0,0
Nepal ,36.7,33.11,18.14,1.27,0,0,0,9.16,0,0,0,0,0,0,0,0,0,0,0
Macao ,63.99,18,9.44,4.18,0,0,1.1,0,0,1.38,0,0,0,0,0,0,0,0,0
Senegal ,26.47,58.48,11.66,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,29.71,40.57,21.26,2.57,0,0,0,3.95,1.14,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,65.33,14.65,12.49,4.73,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,43.75,23.2,4.09,1.47,0,0,0,12.88,12.7,0,0,0,0,0,0,0,0,0,0
Armenia ,18.83,40.62,26.37,1.25,0,0,0,12.28,0,0,0,0,0,0,0,0,0,0,0
Bermuda ,63.67,13.04,6.37,13.49,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,53.48,20.1,16.16,7.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,37.23,36.42,7.09,3.1,0,0,1.22,5.96,5.12,0,0,2.53,0,0,0,0,0,0,0
