"Continent","IE","Firefox","Safari","Chrome","BlackBerry","Nokia","Opera","iPhone","Maxthon","UC Browser","Bolt","NetFront","Motorola Internet Browser","Mozilla","Windows Media Player"
Kyrgyz Republic ,45.75,19.51,0,5.4,0,0,26.81,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,58.28,20.75,7.62,11.04,0,0,0,0,0,0,0,0,0,0,0
Malawi ,55.09,21.83,1.39,5.43,0,2.25,12.35,0,0,0,0,0,0,0,0
Liechtenstein ,47.9,34.63,8.95,5.01,0,0,1.72,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),54.19,29.82,3.09,8.5,0,0,3.09,0,0,0,0,0,0,0,0
Gabon ,61.66,22.95,2.45,5.61,0,0,5.33,0,0,0,0,0,0,0,0
Monaco ,47.02,26.3,13.77,6.51,0,0,4.04,0,0,0,0,0,0,0,0
Bhutan ,52.52,26.1,4.24,14.1,0,0,2.13,0,0,0,0,0,0,0,0
Papua New Guinea ,61.29,25.18,2.36,7.7,0,0,1.45,0,0,0,0,0,0,1.43,0
Rwanda ,42.91,37.42,3.29,8.62,0,0,5.77,0,0,0,0,0,0,0,0
Togo ,54.87,39.73,0,2.91,0,0,0,0,0,0,0,0,0,0,0
Greenland ,59.01,27.33,6.09,4.9,0,0,1.18,0,0,0,0,0,0,0,0
Anguilla ,67.6,17.2,3.96,8.72,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,68.36,20.36,0,5.56,0,0,3.72,0,0,0,0,0,0,0,0
Tajikistan ,44.55,21.68,1.39,6.48,0,0,24.48,0,0,0,0,0,0,0,0
Seychelles ,49.22,34.55,2.89,9.86,0,0,2.2,0,0,0,0,0,0,0,0
San Marino ,51.02,27.03,10.43,10.15,0,0,0,0,0,0,0,0,0,0,0
Gambia ,33.52,55.99,1.04,4.39,0,0,3.35,0,0,0,0,0,0,0,0
Niger ,52.9,33.31,1.57,5.69,0,1.24,3.85,0,0,0,0,0,0,0,0
Turkmenistan ,42.65,16.11,0,2.16,0,1.04,37.03,0,0,0,0,0,0,0,0
Liberia ,56.18,18.07,5.07,5.66,0,1.41,8.88,0,0,0,0,0,0,2.44,0
Equatorial Guinea ,66.85,14.14,1.99,4.97,0,2.03,7.82,0,0,0,0,1.25,0,0,0
Swaziland ,52.7,18.29,1.42,4.94,0,3.42,17.55,0,0,0,0,0,0,0,0
Sierra Leone ,63.53,26.66,1.56,6.45,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,50.33,31.45,6.84,9.57,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,49.08,43.48,1.4,4.21,0,0,1.26,0,0,0,0,0,0,0,0
Somalia ,90.52,5.89,0,0,0,0,2,0,0,0,0,0,0,0,0
Vanuatu ,52.92,32.63,3.46,8.63,0,0,0,0,0,0,0,0,0,0,1.09
Saint Pierre and Miquelon ,49.42,39.29,4.2,4.99,0,0,1.32,0,0,0,0,0,0,0,0
Samoa ,63.21,27.95,2.88,4.09,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,69.42,19.23,2.71,6.93,0,0,1.02,0,0,0,0,0,0,0,0
Congo (Republic of the),66.33,25.59,0,4.98,0,0,0,0,0,0,0,0,0,0,0
Micronesia ,54.41,31.32,3.98,7.71,0,0,0,0,0,0,0,0,0,0,2.04
Holy See (Vatican City State) ,67.89,23.3,0,5.62,0,0,0,0,0,0,0,0,0,2.15,0
Falkland Islands (Malvinas) ,79.13,14.18,2.06,2.78,0,0,1.29,0,0,0,0,0,0,0,0
Guinea ,50.7,40.79,1.81,1.98,0,1.75,1.44,0,0,0,0,0,0,0,0
Cook Islands ,60.36,29.54,4.64,4.51,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,61.43,15.79,3.49,17.25,0,0,1.4,0,0,0,0,0,0,0,0
Tonga ,42.43,47.71,3.47,5.26,0,0,0,0,0,0,0,0,0,0,0
Burundi ,50.73,37.51,2.14,3.89,0,0,4.17,0,0,0,0,0,0,0,0
Kiribati ,63.63,32.25,0,3.34,0,0,0,0,0,0,0,0,0,0,0
Eritrea ,61.52,35.02,0,1.78,0,0,1.1,0,0,0,0,0,0,0,0
Marshall Islands ,53.07,35.4,2.56,4.39,0,0,0,0,0,0,0,0,0,3.61,0
Sao Tome and Principe ,78.29,16.69,0,2.32,0,0,1.19,0,0,0,0,0,0,0,0
Palau ,49.79,33.68,6.74,6.9,0,1.74,0,0,0,0,0,0,0,0,0
Central African Republic ,64.81,23.53,1.46,5.96,0,0,1.81,1.02,0,0,0,0,0,0,0
Mayotte ,49.82,32.8,6.1,10.29,0,0,0,0,0,0,0,0,0,0,0
Chad ,35.08,20.07,0,3.36,0,34.58,5.01,0,0,0,0,0,0,0,0
Guinea-Bissau ,82.71,10.5,4.93,1.61,0,0,0,0,0,0,0,0,0,0,0
Niue ,27.99,61.79,0,4.5,0,0,0,0,0,0,0,0,0,0,4.05
Comoros ,77.57,19.26,0,2.4,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,41.05,50.88,1.27,6.52,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,35.79,30.25,26.59,7.16,0,0,0,0,0,0,0,0,0,0,0
Nauru ,42.79,51.24,0,5.97,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
