"Continent","IE","Firefox","Safari","Chrome","Opera","Maxthon","Nokia","iPhone","BlackBerry","NetFront","Mozilla","Minefield","Flock","Windows Media Player"
Madagascar ,26.82,59.6,2.4,7.11,1.71,0,0,0,0,0,0,1.08,0,0
Afghanistan ,73.27,17.43,1.71,5.62,1.45,0,0,0,0,0,0,0,0,0
Togo ,77.15,18.68,0,1.81,1.13,0,0,0,0,0,0,0,0,0
Belize ,43.3,45.19,2.41,5.45,1.08,0,0,0,0,0,0,0,0,0
Zambia ,46.8,29.65,1.88,5.83,12.33,0,1.33,0,0,1.08,0,0,0,0
Guyana ,54.77,33.49,1.27,5.89,2.46,0,0,0,0,0,0,0,0,0
New Caledonia ,44.35,38.05,8.07,7.12,1.05,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,53.78,31.57,2.53,10.35,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,55.22,30.95,3.61,7.98,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,63.25,25.43,0,5.16,3.56,0,0,0,0,0,0,0,0,0
Zimbabwe ,49.48,31.27,2.99,6.84,6.47,0,1.58,0,0,0,0,0,0,0
French Polynesia ,38.85,42.3,10.94,5.45,0,0,0,0,0,0,0,0,0,0
Dominica ,42.52,37.18,5.9,10.41,3.17,0,0,0,0,0,0,0,0,0
Mauritania ,60.72,24.09,0,10.73,1,0,1.57,0,0,0,0,0,0,0
Liechtenstein ,48.42,38.29,8.15,3.15,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,49.15,18.21,1.13,4.1,25.17,0,0,0,0,0,0,0,0,0
Benin ,66.98,23.2,0,3.07,1.74,0,0,0,0,0,0,0,3.36,0
Mali ,36.4,15.16,32.46,3.52,8.18,0,3.63,0,0,0,0,0,0,0
Turks and Caicos Islands ,55.69,24.82,7.66,9.2,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,62,21.91,7.47,6.59,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),57.76,25.48,2.16,6.99,6.22,0,0,0,0,0,0,0,0,0
Monaco ,51.48,27.7,12.04,6.37,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,67.09,19.86,1.2,8.01,0,0,0,0,0,0,2.43,0,0,0
Somalia ,94.87,3.13,0,1.03,0,0,0,0,0,0,0,0,0,0
Greenland ,51.2,40.14,2.98,3.18,1.78,0,0,0,0,0,0,0,0,0
Malawi ,53.68,22.24,1.41,3.77,15.39,0,1.96,0,0,0,0,0,0,0
Bhutan ,58.35,24.6,2.05,11.3,2.46,0,0,0,0,0,0,0,0,0
Gabon ,60.15,23.61,2.02,4.38,6.75,0,0,0,0,0,0,0,0,0
Rwanda ,38.55,42.29,2.75,7.22,6.86,0,0,0,0,0,0,0,0,0
Lesotho ,67.94,19.14,1.11,6.18,5.37,0,0,0,0,0,0,0,0,0
San Marino ,50.39,31.33,10.92,6.17,0,0,0,0,0,0,0,0,0,0
Seychelles ,54.83,31.44,2.96,5.74,3.46,0,0,0,0,0,0,0,0,0
Tajikistan ,42.31,21.13,0,3.21,30.75,0,1.02,0,0,0,0,0,0,0
Anguilla ,67.42,19.31,5.77,5.23,0,0,0,0,0,0,0,0,0,0
Gambia ,40.53,49.43,1.01,2.83,4.54,0,0,0,0,0,0,0,0,0
Liberia ,58.53,15.86,1.49,5.57,13.77,0,3.38,0,0,0,0,0,0,0
Niger ,55.85,32.07,1.6,3.57,4.08,0,1.26,0,0,0,0,0,0,0
Sierra Leone ,71.68,23.51,0,2.6,1.21,0,0,0,0,0,0,0,0,0
Turkmenistan ,54.07,12.48,0,2.63,27.26,0,1.41,0,0,0,0,0,0,0
Swaziland ,57.3,15.27,1.18,5.24,16.66,0,1.92,0,0,0,0,0,0,0
American Samoa ,53.19,32.13,6.99,6.04,0,0,0,0,0,0,0,0,0,0
Samoa ,75.84,16.85,2.64,2.56,1.22,0,0,0,0,0,0,0,0,0
Vanuatu ,50.87,34.76,2.39,8.97,1.1,0,0,0,0,0,1.24,0,0,0
Equatorial Guinea ,58.61,22.55,2.57,3.71,7.61,0,2.93,0,0,0,0,0,0,0
Palau ,26.74,59.33,2.73,5.5,1.01,0,0,0,0,0,0,0,0,4.64
Saint Pierre and Miquelon ,50.14,41.06,3.64,1.89,2.95,0,0,0,0,0,0,0,0,0
Montserrat ,70.01,18.68,3.13,6.92,1.02,0,0,0,0,0,0,0,0,0
Solomon Islands ,70.44,18.89,4.83,4.62,0,0,0,0,0,0,0,0,0,0
Eritrea ,68.99,27.26,0,2.07,1.2,0,0,0,0,0,0,0,0,0
Burundi ,46.01,43.02,2.43,4.31,2.47,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,56.24,37.26,2.34,4.01,0,0,0,0,0,0,0,0,0,0
Cook Islands ,63.28,25.01,3.93,5,0,1.43,0,0,0,0,0,0,0,0
Sao Tome and Principe ,87.72,9.09,0,1.94,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,75.36,16.54,4.67,1.58,1.35,0,0,0,0,0,0,0,0,0
Micronesia ,63.85,29.92,2.85,1.92,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),52.68,29.32,0,2.96,10.5,0,1.71,0,0,1.17,0,0,0,0
Tonga ,41.48,43.94,7.75,2.84,0,0,1.67,0,0,0,0,0,0,0
Guinea ,60.64,33.34,0,0,3.47,0,0,0,0,0,0,0,0,0
Kiribati ,24.81,49.7,0,24.41,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,42.92,51.81,2.22,0,0,0,0,0,0,0,0,0,0,0
Chad ,54.31,22.56,1.38,4.17,10.03,1.09,5.43,0,0,0,0,0,0,0
Central African Republic ,55.1,17.07,4.1,11.7,4.08,0,0,0,0,0,6.5,0,0,0
Guinea-Bissau ,92.08,6.04,0,1.26,0,0,0,0,0,0,0,0,0,0
Comoros ,62.6,28.89,0,2.4,4.48,0,0,0,0,0,1.13,0,0,0
Mayotte ,50.56,35.63,6.9,4.8,1.89,0,0,0,0,0,0,0,0,0
Tuvalu ,38.57,55.57,0,5.12,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,38.35,45.63,2.21,13.15,0,0,0,0,0,0,0,0,0,0
Niue ,59.15,38.6,0,0,0,0,0,0,0,0,0,0,0,0
