Continent,Chrome,IE,Safari,Firefox,iPhone,Android,Yandex Browser,Opera,UC Browser,Nokia,NetFront,Unknown,BlackBerry,IEMobile,Sogou Explorer,QQ Browser,Maxthon,CoRom+,Puffin,Openwave Mobile Browser,iPod Touch,Obigo,SonyEricsson,Silk,Phantom,Dolfin,360 Safe Browser,Iron,Iceweasel
Sri Lanka ,24.27,4.3,1.11,14.57,1.29,11.66,0,18.84,4.1,11.21,3.55,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,43.97,11.29,3.38,28.09,1.07,4.17,0,6.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,47.58,5.88,1.98,4.15,2.87,9.08,2.81,20.04,0,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar ,40.69,15.23,7.19,8.44,3.62,7.7,0,9.95,3.86,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,40.92,15.02,4.43,32.2,1.01,3.81,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,57.31,9.24,5.37,13.15,3.26,5.46,0,1.91,0,0,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,57.85,9.55,2.66,20.87,0,3.65,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania ,40.79,13.92,2.76,31.12,0,2.7,0,6.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan ,47.75,9.17,2.99,11.2,3.26,14.26,0,5.27,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia ,60.11,4.36,1.66,8.22,1.12,1.65,0,19.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,5.5,4.25,1.13,10.91,0,7.38,0,44.35,5.35,15.58,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro ,52.04,6.29,2.21,22.43,1.53,7.74,0,4.7,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia ,39.26,16.1,2.5,25.61,2.5,8.17,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador ,46.05,13.03,4.1,20.46,2.24,6.44,0,3.79,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica ,39.91,11.8,6.68,14.44,3.97,11.32,0,4.96,0,4.03,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,47.35,8.86,1.28,20.09,0,7.48,0,4.96,0,6.26,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,36.38,19.32,11.14,11.55,6.58,10.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0
Kuwait ,31.23,14.38,8.86,7.17,10.97,10.28,0,12.69,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,46.29,8.52,3.19,12.68,2.86,6.35,2.68,14.05,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,46.03,19.41,8.22,16.49,2.32,4.63,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal ,35.72,3.62,2.02,19.23,2.45,6.09,0,19.11,6.48,2.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,44.21,11.68,4.28,30.62,1.1,2.74,0,3.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova ,64.84,5.92,1.79,15.87,0,2.03,1.27,5.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,48.7,11.53,1.86,25.68,2.07,6,0,1.66,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus ,35.78,8.7,1.97,15.6,0,2.96,2.58,29.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,50.16,15.76,6.42,13.71,1.65,7.21,0,1.08,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia ,43.84,15.61,5.86,26.7,1.01,2.98,0,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,49.59,12.01,4.94,16.47,1.77,7.02,0,2.46,0,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan ,9.65,4.88,0,14.03,1.31,9.47,0,39.18,3.45,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman ,27.29,12.3,2.79,6.58,3.04,21.89,0,1.46,8.93,12.38,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen ,32.13,4.67,1.57,24.7,4.3,14.74,0,12.63,3,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama ,41.8,19.51,7.88,10.66,2.15,13.53,0,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal ,30.54,10.26,2.89,45.34,1.38,3.85,0,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,69.53,3.64,2.94,11.99,1.52,1.8,1.79,4.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,32.65,13.17,7.61,11.87,7.43,20.48,0,2.64,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,9.16,8.89,1.53,11.52,0,2.68,0,53.33,2.22,7.93,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,30.95,19.92,6.34,7.28,6.3,18.41,0,3.48,3.04,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland ,49.44,12.18,12.98,19.08,2.65,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,9.58,1.61,3.04,39.93,3.38,36.89,0,1.8,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras ,48.19,13.04,5.19,15.87,2.64,7.97,0,2.44,0,0,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta ,51.4,16.92,8.96,12.99,2.4,4.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya ,37.09,8.42,3.1,15.68,3.16,10.95,0,15.09,1.3,4.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana ,15.51,5.2,2.45,29.2,1.11,6.07,0,25.07,7.8,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,44.69,10.47,3.33,20.95,1.76,5.03,0,5.13,1.55,3.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,42.43,10.18,4.75,20.42,1.38,6.61,0,6.93,1.29,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,22.6,3.6,7.17,26.36,13.66,14.55,0,3.06,3.42,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,8.08,10.43,1.83,11.1,1.03,5.21,0,41.6,3.61,10.01,2.02,0,0,1.39,0,0,0,0,0,1.04,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,30.44,5.46,9.61,13.64,4.61,14.18,0,17.33,0,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
