"Continent","Chrome","IE","Safari","Firefox","iPhone","Android","360 Safe Browser","Yandex Browser","Opera","UC Browser","Nokia","NetFront","Unknown","BlackBerry","IEMobile","Sogou Explorer","QQ Browser","Maxthon","CoRom+","Puffin","iPod Touch","Obigo","Silk","Phantom","Openwave Mobile Browser","SonyEricsson","Dolfin","Iron","Iceweasel","Sony PSP Vita"
Montenegro ,51.08,6.1,2.34,22.61,1.76,8.17,0,0,4.76,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,6.02,4.14,1.23,10.72,0,8.45,0,0,45.39,6.06,12.93,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia ,40.15,14.77,2.53,25.03,2.67,8.58,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica ,40.69,11.64,6.54,14.07,4.73,11.62,0,0,4.85,0,3.09,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,36.71,18.15,11.09,10.99,7.17,10.34,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0
Paraguay ,47.04,8.46,1.32,19.3,0,8.44,0,0,5.16,0,6.47,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait ,30.7,14.17,8.66,6.69,13.66,10.27,0,0,11.6,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,46.99,18.27,8.28,16.4,2.39,4.83,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal ,35.05,3.46,2.01,18.45,2.68,6.58,0,0,18.84,7.18,3.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,46.64,8.45,3.35,12.65,3.26,5.81,0,2.73,13.65,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,44.99,11.48,4.38,29.9,1.33,2.56,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,51.11,15.1,6.59,13.18,1.74,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,49.77,11.47,1.96,24.85,1.98,5.88,0,0,1.6,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,50.98,11.71,5,15.98,1.74,7.02,0,0,2.33,0,0,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia ,45.33,14.82,5.83,25.87,1.21,3.05,0,0,2.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus ,36.74,8.3,2.24,15.7,1.03,3.26,0,2.57,28.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal ,30.56,9.13,2.6,44.43,1.43,4.87,0,0,2.75,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova ,63.67,6.12,1.98,16.29,1.17,2.07,0,1.19,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan ,9.74,4.82,0,13.43,1.34,10.23,0,0,38.89,4.18,14.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman ,27.39,12.23,2.77,6.15,3.24,21.97,0,0,1.34,9.33,12.27,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama ,41.69,18.88,8.14,10.36,2.63,14.33,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,10.14,1.46,2.89,34.31,3.54,42.19,0,0,1.63,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen ,32.35,4.75,1.58,23.68,4.29,14.1,0,0,13.68,3.37,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,33.23,12.44,7.7,11.89,7.47,20.63,0,0,2.61,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,70.55,3.43,3,10.76,1.73,2.1,0,1.69,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,9.47,8.84,1.56,12.14,0,2.52,0,0,53.3,2.07,7.59,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland ,50.59,11.71,14,16.75,2.97,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras ,48.94,12,5.29,15.24,2.94,8.73,0,0,2.32,0,0,0,0,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,32.27,19.16,6.2,7.24,6.42,17.99,0,0,3.6,3.23,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta ,51.87,16.23,9.36,12.46,2.61,5.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,46.62,10.19,3.17,20.9,1.7,4.83,0,0,4.73,1.37,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya ,35.95,8.43,2.93,15.27,3.13,11.06,0,0,16.47,1.27,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,43.95,9.67,4.69,19.54,1.32,6.94,0,0,6.86,1.3,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana ,16.19,4.94,2.57,28.2,1.27,6.16,0,0,24.98,8.57,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,8.61,10.53,1.81,10.75,1.02,5.83,0,0,40.86,3.93,10.19,1.75,0,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,30.89,5.04,9.61,13.39,4.95,13.95,0,0,17.66,1.24,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados ,47.83,16.38,8.7,15.21,1.4,4.84,0,0,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,23.6,3.95,7.11,24.88,14.19,14.5,0,0,3.03,2.95,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,11.13,8.23,1.84,6.89,0,6.25,0,0,42.01,5.39,11.05,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0
Mongolia ,40.9,3.8,4.36,34.73,3.89,9.43,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,27.72,6.81,1.36,29.78,1.74,17.28,0,0,5.18,3.97,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,13.41,6.68,0,30.63,1.2,1.81,0,0,26.09,11.17,6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,27.35,18.62,16.23,22.68,8.19,4.21,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,13.52,6.39,1.98,28.39,0,5.65,0,0,31.53,3.69,5.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,39.57,23.57,13.26,9.17,3.49,6.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0
Reunion ,33.67,10.33,7.88,26.98,4.49,12.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda ,19.78,42.26,24.61,7.48,1.99,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,27.28,5.24,1.82,22.92,0,9.11,0,0,15.39,2.84,2.4,2.82,0,0,0,0,0,0,0,0,0,2.4,0,2.9,1.18,0,0,0,0,0
Maldives ,38.94,3.96,4.25,19.06,4.12,12.54,0,0,4.85,2.54,7.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,37.79,20.74,9.09,9.59,9.4,8.12,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,28.17,30.41,22.57,7.54,7.3,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,3.83,4.24,0,2.08,0,24.18,0,0,39.01,3.4,14.25,1.1,0,0,0,0,0,0,0,0,0,5.07,0,0,0,0,0,0,0,0
Cameroon ,14.07,6.25,1.82,44.38,0,4.35,0,0,18.64,3.59,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,41.92,16.49,10.21,16.91,2.48,8.64,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),6.8,4.13,1.62,8.74,1.05,9.23,0,0,39.91,5.6,6.62,5.76,0,0,2.44,0,0,0,0,0,0,1.1,0,0,2.31,1.37,0,0,0,0
Suriname ,37.82,19.61,5.53,13.31,3.85,12.33,0,0,1.9,0,0,0,0,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,25.95,8.18,4.99,16.17,8.6,11.83,0,0,8.19,3.82,6.88,0,0,0,4.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola ,23.98,20.82,8.32,10.43,3.9,7.28,0,0,19.79,0,1.98,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana ,47.13,13.72,3.94,21.11,1.61,5.07,0,0,1.71,0,0,0,0,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam ,37.42,14.47,18.05,10.58,7.56,7.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0,0,0,0,0,0,0,0,0
Madagascar ,21.78,5.44,2.81,37.19,0,5.24,0,0,15.6,5.55,1.79,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,40.37,22.43,12.43,10.44,3.66,6.71,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,26.93,4.55,1.81,7.98,5.28,8.86,0,0,24.81,9.87,6.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba ,12.25,9.21,0,74.32,0,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,44.68,16.65,12.43,11.08,2.72,7.69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,23.66,35.27,20.82,10.34,4.59,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,43.85,6.94,2.73,7.97,3.21,7.07,0,1.33,20.31,2.02,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique ,42.02,16.68,6.5,12.98,2.58,15.96,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,52.11,16.41,7.69,13.11,1.38,4.81,0,0,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia ,20.01,16.28,3.68,9.36,2.14,9.18,0,0,21.85,2.14,9.96,1.02,0,0,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,13.08,10.76,2.37,14.11,0,3.13,0,0,43.5,3.62,5.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba ,32.72,25.08,14.55,8.95,7.97,7.68,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,25.55,15.88,4.15,20.79,5.34,7.8,0,0,7.49,4.82,5.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali ,7.29,5.97,1.36,8.95,1.14,9.62,0,0,26.69,7.68,6.53,7.84,0,0,0,0,0,0,0,0,0,2.27,0,4.5,5.99,0,1.01,0,0,0
