"Continent","IE","Firefox","Chrome","Safari","BlackBerry","Nokia","Opera","iPhone","Maxthon","UC Browser","NetFront","Sony PS3","Bolt","Windows Media Player","Motorola Internet Browser","Mozilla","Minefield"
Cyprus ,55.08,29.14,10.82,2.46,0,0,1.59,0,0,0,0,0,0,0,0,0,0
Mongolia ,21.93,67.57,6.68,0,0,0,2.08,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,32.01,38.69,22.19,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0
Belarus ,20.3,24.62,5.6,0,0,0,47.5,0,0,0,0,0,0,0,0,0,0
Libya ,53.26,16.89,13.04,0,0,8.42,7.15,0,0,0,0,0,0,0,0,0,0
Montenegro ,27.46,41.2,20.52,0,0,1.03,7.96,0,0,0,0,0,0,0,0,0,0
Albania ,33.06,34.38,28.47,0,0,1.02,1.99,0,0,0,0,0,0,0,0,0,0
Georgia ,24.63,19.47,11.16,0,0,0,43.39,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,41.74,31.61,20.31,3.31,0,0,1.42,0,0,0,0,0,0,0,0,0,0
Nicaragua ,42.89,44.52,9.14,1.24,0,0,1.26,0,0,0,0,0,0,0,0,0,0
Myanmar ,39.16,56.96,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova ,20.57,46.01,15.62,0,0,0,16.38,0,0,0,0,0,0,0,0,0,0
Nepal ,45.66,31.02,14.13,1.22,0,0,6.79,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,48.4,16.46,8.18,1.1,0,0,24.69,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,19.75,34.67,11.79,5,0,16.23,9.29,0,0,0,1.15,0,0,0,0,0,0
Senegal ,24.44,66.46,6.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan ,59.31,22.33,3.22,0,0,5.66,8.06,0,0,0,0,0,0,0,0,0,0
Malta ,52.72,26.23,15.72,2.74,0,0,1.39,0,0,0,0,0,0,0,0,0,0
Iceland ,35.42,38.74,14.79,8.44,0,0,1.58,0,0,0,0,0,0,0,0,0,0
Kenya ,32.1,41.46,7.57,2.11,0,0,14.77,0,0,0,0,0,0,0,0,0,0
Jamaica ,38.55,37.12,17.46,2.74,0,0,2.33,0,0,0,0,0,0,0,0,0,0
Yemen ,62.97,20.99,9.9,0,0,1.17,3.88,0,0,0,0,0,0,0,0,0,0
Ghana ,24.8,57.7,5.81,1.4,0,0,8.13,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,25.11,30.98,6.86,1.14,0,0,34.96,0,0,0,0,0,0,0,0,0,0
Luxembourg ,40.76,39.32,6.51,8.45,0,0,2.42,1.43,0,0,0,0,0,0,0,0,0
