"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Opera","Yandex Browser","BlackBerry","UC Browser","Nokia","NetFront","Dolfin","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","IEMobile","iPod Touch","Sony PS3","Samsung","Openwave Mobile Browser","Obigo","Unknown","Phantom","Silk","Midori"
Macedonia ,5.74,56.34,30.52,0,0,2.18,2.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,13.4,39.12,33.88,2.69,0,2.73,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,21.38,30.65,39.53,3.61,0,2.39,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,13.31,58.18,16.95,3.95,1.57,2.04,1.54,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,4.41,15,37.32,0,0,1.72,19.02,0,0,10.57,7.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,25.49,38.79,18.79,4.38,2.65,3.86,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan ,14.34,53.66,13.56,2.27,1.44,4.58,5.54,0,0,0,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania ,17.69,34.38,37.32,2.3,0,1.47,5.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,16.55,55.63,22.13,1.89,0,1.24,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria ,8,9.19,18.69,3.27,0,1.92,36.26,0,0,12.95,7.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,10,46.05,7.28,1.64,0,2.83,27.16,1.03,0,0,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica ,20.65,37.6,18.24,4.84,2.43,6.24,4.23,0,0,0,3.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar ,29.03,37.27,11.15,6.04,1.91,4.48,4.3,0,0,1.22,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia ,5.53,55.7,12.05,1.4,0,0,22.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,15.38,45.53,24.19,1.16,0,5.35,4.04,0,0,0,2.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro ,9,49.78,29.71,1.71,0,2.57,4.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia ,28.04,31.5,30.74,2.67,1.09,3,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,25.74,30.54,14.85,10.61,3.63,9.63,0,0,0,0,0,0,0,0,0,0,0,0,1.87,1.06,0,0,0,0,0,0,0
El Salvador ,19.06,45.68,23.69,3.01,0,2.21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus ,9.78,30.22,19.74,1.53,0,1.36,34.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,14.62,39.04,35.02,3.53,0,1.8,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait ,24.67,23.36,9.86,8.04,10.49,9.43,8.56,0,2.04,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia ,19.37,36.69,33,4.95,0,2.11,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova ,7.91,60.77,20.24,1.3,0,1.05,6.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,13.86,38.87,19.54,3.17,1.29,2.6,17.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,19.24,45.94,26.89,1.13,1.03,2.1,1.65,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,27.43,37.2,22.86,6.06,1.42,2.86,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,20.87,46.3,18.21,6.05,0,3.43,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,3.82,71.45,16.28,1.64,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras ,23.4,43.39,19.35,3.72,1.72,2.69,2.48,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama ,33.3,36.45,13.18,5.51,0,7.49,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal ,7.95,37.42,27.84,2.21,1.6,2.62,13.96,0,0,3.25,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya ,10.69,16.45,35.21,3.32,0,3.59,22.93,0,0,1.56,3.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen ,10.76,34.3,34.33,1.18,3.27,4.75,7.83,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,22.49,30.49,16.16,7.71,4.75,11.34,2.55,0,0,0,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland ,16.2,46.31,21.43,12.05,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,2.37,5.37,49.02,2.23,2.49,32.6,2.21,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,17.61,44.82,23.54,5.22,0,2.21,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,45.36,23.15,9,15.95,2.94,2.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan ,11.28,8.99,21.91,0,0,3.81,30.96,0,0,2.32,16.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,17.56,43.72,27.12,2.28,1.11,1.99,3.29,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,29.95,24.92,10.17,6.51,5.12,13.28,1.77,0,1.19,1.97,3.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana ,8.76,15.64,40.5,2.86,0,3.36,17.79,0,0,5.15,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman ,24.42,24.42,11.24,3.1,1.81,13.57,1.61,0,1.78,7.03,9.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta ,26.26,44.65,15.65,7.46,1.41,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,14.11,19.03,39.17,1.37,1.27,7.74,3.84,0,0,2.15,9.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia ,7.09,31.71,48.62,3.61,1.05,5.06,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya ,16.32,38.98,19.91,2.26,1.04,4.11,10,0,0,0,5.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,15.18,39.13,28.07,4.15,0,3.24,4.51,0,0,0,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda ,51.23,13.51,8.43,23.09,1.12,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
