"Continent","Chrome","IE","Firefox","Safari","iPhone","Android","Yandex Browser","Opera","BlackBerry","UC Browser","Nokia","NetFront","Sogou Explorer","Maxthon","QQ Browser","360 Safe Browser","IEMobile","iPod Touch","Obigo","Phantom","Silk","Iron","Samsung","Openwave Mobile Browser","Sony PS3","Pale Moon"
Algeria ,41.69,9.83,39.85,1,0,2.26,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,36.31,21.25,29.72,3.07,0,2.54,0,4.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador ,45.46,12.91,29.46,3.5,1.18,3.58,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia ,39.23,13.24,34.66,3.01,1.95,3.93,0,2.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa ,20.42,27.28,12.05,6.86,2.12,4.58,0,11.37,10.68,1.02,2.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania ,55.12,8.01,23.07,2.79,3.4,2.87,0,2.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine ,37.73,9.46,23.89,2.78,0,1.46,2.29,19.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar ,43.97,21.1,10.92,7.45,2.23,5.5,0,4.47,0,1.28,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,60.6,10.51,14.6,4.35,2.23,3.2,0,1.45,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria ,9.78,6.64,16.49,3.73,0,3.5,0,35.35,0,15.13,7.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,13.95,3.16,30.35,0,0,2.96,0,24.48,0,14.18,7.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,35.54,8.71,27.58,1.59,0,4.53,0,11.2,0,3.21,3.64,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia ,57.59,5.23,28.58,1.21,1.08,2.94,0,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,58.46,12.19,22.24,1.83,0,1.9,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,41.49,21.31,17.3,4.38,3.65,5.64,0,3.11,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,40.28,15.48,30.34,2.78,0,3.19,0,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,50.87,8.15,5.86,2.22,1.53,4.62,2.48,20.85,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan ,49.86,12.75,13.52,2.74,2.07,7.52,0,5.33,0,0,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,35.23,18.65,36.01,4.1,0,3.16,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania ,39.63,14.81,33.82,2.58,0,2.19,0,5.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia ,61.05,4.56,10.27,1.36,0,0,0,19.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia ,35.21,23.1,29.88,2.66,1.26,3.94,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica ,38.71,16.35,16.59,5.65,3.16,8.43,0,4.55,0,0,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,47.28,12.64,22.84,1.22,0,5.56,0,4.7,0,0,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,32.92,21.41,13.54,10.58,4.96,11.72,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0
Montenegro ,50.55,7.68,27.11,2.39,1.18,4.13,0,4.7,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait ,27.38,19.54,8.62,9.14,10.57,9.7,0,11.11,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador ,47.4,16.61,21.72,3.46,1.25,3.27,0,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,51.08,17.59,15.65,6.15,1.16,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal ,40.05,5.7,24.61,2.14,1.72,3.42,0,13.79,0,4.48,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,74.56,3.01,13.25,2.28,0,0,1.26,2.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
