"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","BlackBerry","Opera","Nokia","Maxthon","UC Browser","Unknown","NetFront","iPod Touch","Bolt","Sony PS3","Windows Media Player","Mozilla"
Mongolia ,16.82,66.33,12.55,0,0,0,0,2.03,0,0,0,0,0,0,0,0,0,0
Georgia ,13,17.1,27,0,0,0,0,41.67,0,0,0,0,0,0,0,0,0,0
Lebanon ,51.91,19.02,19.73,3.43,0,0,0,1.77,2.06,0,0,0,0,0,0,0,0,0
Cyprus ,43.07,29.28,22.18,2.79,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0
El Salvador ,34.59,34.4,23.43,1.88,0,0,1.24,2.13,1.22,0,0,0,0,0,0,0,0,0
Montenegro ,18.2,33.22,37.21,0,0,0,0,8.7,0,0,0,0,0,0,0,0,0,0
Nicaragua ,30.85,42.51,21.06,1.28,0,0,0,1.31,1.13,0,0,0,0,0,0,0,0,0
Kazakhstan ,18.43,31.17,15.45,1.52,0,0,0,32.31,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,33.04,25.34,34.78,3.54,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0
Moldova ,14.29,36.65,36.75,0,0,0,0,11.07,0,0,0,0,0,0,0,0,0,0
Sudan ,40.93,24.64,5.67,0,0,0,0,17.94,8.61,0,0,0,0,0,0,0,0,0
Kenya ,23.5,39.77,10.73,2.29,1.03,0,0,19.25,1.89,0,0,0,0,0,0,0,0,0
Yemen ,43.48,29.54,19.5,0,0,0,0,4.55,1.22,0,0,0,0,0,0,0,0,0
Myanmar ,36.95,58.3,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,12.35,33.07,43.78,1.07,0,0,0,9.14,0,0,0,0,0,0,0,0,0,0
Nepal ,26.75,34.5,22.63,1.71,0,0,0,12.18,0,0,0,0,0,0,0,0,0,0
Malta ,43.3,22.4,27.57,3.7,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0
Iceland ,27.54,31.47,28.25,9.81,0,0,0,1.68,0,0,0,0,0,0,0,0,0,0
Jamaica ,29.28,31.63,31.75,3.32,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,30.55,16.08,19.69,1.25,0,0,0,30.92,0,0,0,0,0,0,0,0,0,0
Ghana ,20.78,49.84,9.28,1.93,0,0,0,13.71,1.37,0,0,0,0,0,0,0,0,0
