"Continent","IE","Chrome","Safari","Firefox","iPhone","Android","Yandex Browser","Opera","BlackBerry","UC Browser","Nokia","NetFront","Sogou Explorer","Maxthon","QQ Browser","360 Safe Browser","CoRom+","Puffin","IEMobile","Chromium","iPod Touch","Silk","Phantom","Iron"
Malta ,19.22,50.01,8.46,13.69,2.1,4.14,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,21.36,28.49,6.01,7.4,5.96,18.78,0,3.63,1.11,2.58,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,4.16,9.12,0,17.2,0,1.22,0,47.68,0,11.72,6.03,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,12.35,47.74,2.54,23.17,1.43,3.25,0,3.78,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya ,10.18,38.48,3.04,17.54,1.99,7.47,0,13.05,0,1.17,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,12.07,43.66,4.27,22.04,0,4.86,0,6.81,0,1.26,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,8.73,28.83,2.01,33.63,1.5,9.65,0,4.92,0,3.8,4.99,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,38.96,25.28,19.65,7.97,4.25,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados ,18.73,47.64,6.58,17.05,1.1,3.68,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,7.37,30.17,9.91,17.11,4.06,13.09,0,14.83,0,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal ,14.83,38.56,3.36,31.75,1.33,3.27,0,3.66,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,4.73,22.65,5.2,27.23,6.99,13.02,0,6.85,0,6.51,5.03,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia ,4.02,35.61,4.42,41,2.38,9.26,0,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,7.03,11.61,2.08,26.54,0,4.02,0,37.49,0,4.1,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,21.34,27.59,15.53,23.58,5.66,3.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola ,19.56,17.28,6.31,9.04,1.98,3.88,0,38.32,0,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda ,44.61,17.73,24.66,7.34,1.76,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,25.35,40.03,11.5,10.84,2.4,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Zambia ,19.57,10.73,2.93,17.96,1.12,5.13,0,31.83,0,2.34,4.58,0,0,0,0,0,0,0,1.13,0,0,0,0,0
Uzbekistan ,3.8,18.13,1.55,7.74,2.19,3.4,0,55.93,0,2.44,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,20.87,37.77,9.41,11.7,6.88,10.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives ,6.12,43.97,5.3,27.35,2.42,6.06,0,3.28,0,2.02,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,8.53,35.48,2.52,31.63,0,4.45,0,10.49,0,1.76,1.21,0,0,0,0,0,0,0,0,0,0,0,1.07,0
Mozambique ,18.49,17.58,3.53,13.66,0,3.9,0,30.19,0,4.61,5.69,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion ,13.48,32.05,9.71,32.04,2.84,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname ,24.62,37.09,6.04,16.1,2.23,8.36,0,1.78,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,8.29,16.52,2.58,53.76,0,3.03,0,7.64,0,3.46,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,11,22.3,4.97,18.68,6.88,6.26,0,13.95,0,4.39,8.68,0,0,0,0,0,0,0,1.86,0,0,0,0,0
Guyana ,22.74,44.05,4.18,21.54,0,2.61,0,1.2,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam ,19.31,34.68,16.4,12.35,5.62,7.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0
Martinique ,22.56,39.71,7.75,16.37,1.6,9.57,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,20.7,38.19,9.69,19.52,1.42,7.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,14.24,11.35,1.93,13.34,0,2.55,0,46.71,0,4.05,3.08,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,28.67,36.54,11.46,11.15,2.76,5.11,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba ,16.05,11.16,0,69.52,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,35.81,23.43,20.12,11.89,4.12,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,19.23,44.1,9.62,15.32,1.49,4.81,0,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,6.58,27.92,3.37,43.5,0,2.65,0,10.72,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji ,15.98,27.02,5.13,31.42,1.68,6.47,0,8.11,0,1.24,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,7.26,37.98,2.52,9.71,1.92,4.04,1.11,31.23,0,1.12,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana ,25.86,28.56,4.02,21.87,0,3.34,0,6.39,0,3.34,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,18.65,20.56,3.46,21.58,3.86,5.07,0,13.1,0,5.28,6.98,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia ,23.88,22.57,4.77,13.21,1.83,5.36,0,21.39,0,1.36,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba ,29.21,31.13,12.75,12.63,4.8,6.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),8.2,9.91,3.29,13.86,1.19,6.18,0,45.45,0,5.03,3.35,0,0,0,0,0,0,0,1,0,0,0,0,0
Papua New Guinea ,12.83,7.75,1.84,6.83,1.17,14.96,0,34.54,0,4.82,12.31,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti ,21.03,28.95,8.08,15,2.69,5.62,0,10.88,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo ,8.83,17.28,2.11,57.3,0,2.41,0,6.14,0,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,4.76,3.91,1.17,7.51,0,2.11,0,65.41,0,8.95,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey ,25.6,27.56,26.65,11.43,4.58,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,7.46,18.69,2.92,27.8,0,2,0,32.74,0,4.48,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia ,15.07,31.48,16.15,27.59,2.75,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cayman Islands ,24.07,37.67,18.17,12.33,3.24,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,6.11,28.31,2.23,6.56,1.86,4.57,1.29,43.3,0,1.77,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde ,21.99,49.57,3.79,16.79,1.11,2.26,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,9.38,38.32,2.49,21.35,1.41,2.82,0,12.12,0,2.3,7.24,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia ,8.33,7.67,2.78,7.61,1.18,3.54,0,56.35,0,5.33,5.94,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,20.83,39.02,6.23,24.33,1.12,5.84,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize ,17.33,34.84,6.6,26.6,2.81,7,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0
Somalia ,6.67,17.11,0,13.17,1.01,1.32,0,44.15,0,9.44,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan ,8.56,37.09,3.14,18.8,1.33,3.45,0,10.96,0,7.88,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0
