"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","UC Browser","Nokia","NetFront","Dolfin","BlackBerry","360 Safe Browser","Maxthon","QQ Browser","iPod Touch","Obigo","Silk","Windows Media Player","Chromium","Iron","Unknown","RockMelt","Mozilla"
Latvia ,17.73,33.9,36.37,2.87,1.02,0,5.63,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia ,21.67,31.36,34.56,4.59,1.31,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,21.22,16.04,45.35,1.31,2.4,0,4.08,0,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,25.02,36.46,32.89,0,0,0,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,30.34,35.56,22.42,6.11,1.86,1.17,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,13.15,32.54,22.9,2.44,1.01,0,25.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,19.86,44.11,24.61,4.75,0,0,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,35.11,24.25,11.94,6.48,6.3,5.15,2.16,1.06,4.7,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,29.88,29.93,18.74,7.08,4.07,3.13,2.66,0,2.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman ,29.04,23.86,14.24,2.56,7.44,1.13,2.18,3.4,12.94,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,18.86,42,31.82,2.08,1.1,0,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen ,15.04,30.89,40.37,1.05,1.19,1.43,7.31,0,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana ,10.29,15.14,46.18,2.79,1.54,0,17.31,1.61,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland ,21.49,39.75,23.89,11.32,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan ,14.27,8.75,26.53,0,1.75,0,31.37,0,12.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia ,8.99,27.22,53.7,3.04,2.61,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta ,30.54,40.55,17.7,6.02,1.66,1.29,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,17.58,36.96,32.08,3.58,1.11,0,3.92,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal ,17.39,26.09,48.61,2.35,0,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,10.41,18.42,38.23,5.65,4.37,6.83,6.75,1.01,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,48.28,22.55,9.91,13.57,2.07,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya ,18.62,33.82,21.55,1.83,1.39,0,9.51,0,11.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda ,53.98,12.53,10.15,20.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
