"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","UC Browser","Nokia","NetFront","Dolfin","BlackBerry","360 Safe Browser","Sogou Explorer","Maxthon","QQ Browser","IEMobile","iPod Touch","SeaMonkey","Sony PS3","Nintendo 3DS","Obigo","Silk","Samsung","Unknown"
Slovakia (Slovak Republic) ,11.79,39.2,33.39,2.27,1.65,0,10.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,4.79,15.61,39.85,0,1.01,0,21.34,5.21,7.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia ,6.81,53.69,33.01,0,1.22,0,3.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,23.21,27.72,40.74,3.48,1.7,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania ,10.33,55.89,24.53,2.13,1.19,1.78,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,16.9,52.83,25.95,1.34,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,27.18,36.97,21.21,4.71,2.18,1.83,3.13,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan ,18.26,48.38,16.24,2.36,2.45,1.12,6.91,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica ,22.32,36.03,21.92,4.52,3.76,1.79,4.29,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar ,30.42,35.7,12.57,5.23,2.64,1.45,4.86,1.05,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,10.43,37.63,7.44,1.34,1.58,0,38.4,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania ,19.2,30.8,36.25,2.48,1.21,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia ,32.93,27.68,32.37,2.26,1.79,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,28.76,29.52,17.53,10.01,6.93,2.63,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
Belarus ,11.09,24.79,19.83,1.22,0,0,40.2,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0
Montenegro ,11.33,43.42,30.75,2.58,2.34,0,6.61,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait ,27.56,22.71,10.76,8.04,6.48,9.79,7.14,0,2.41,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador ,20.27,44.12,27.23,2.42,1.25,0,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,19.8,43.72,31.13,0,0,0,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia ,7.31,46.64,13.14,1.42,0,0,29.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras ,25.2,39.25,21.81,3.12,2.84,1.61,3.19,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,41.16,2.56,39.25,1.37,11.1,1.29,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,52.53,19.48,9.04,13.56,2.24,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,4.75,68.16,18.53,1.62,0,0,5.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama ,36.5,35.83,14.92,4.89,4.04,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya ,12.54,14.95,40.12,2.95,2.13,0,22.38,0,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,22.67,45.99,20.17,4.96,1.64,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,17.26,34.21,36.65,3.11,1.04,0,5.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal ,9.87,38.01,32.16,2,1.4,1.11,11.72,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova ,10.31,55.99,22.87,1.21,0,0,7.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia ,21.15,31.49,33.56,4.82,1.4,0,5.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,28.56,36.79,22.05,6.39,2.12,1.29,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,13.63,33.25,21.9,2.53,1.18,0,25.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,28.06,30.34,17.93,7.34,5.31,3.53,2.86,0,2.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,19.33,43.52,24.58,4.92,1.05,0,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana ,10.14,15.28,45.78,2.93,1.78,0,17.6,1.44,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,32.36,24.15,11.11,7.07,8.45,5.15,2.07,1.24,5.43,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,18.3,41.88,32.24,2.21,1.22,0,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen ,13.92,30.94,38.28,1.22,2.2,2.07,8,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland ,20.23,40.39,23.65,11.83,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan ,13.09,8.91,24.87,0,2.23,0,32.75,1.08,13.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,20.1,17.71,43.5,1.4,3.26,1.05,3.88,0,6.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia ,9.62,28.52,50.93,3.45,3.03,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman ,25.81,22.86,12.75,2.8,9.92,1.34,2.64,3.91,14.66,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta ,29.18,41,17.81,6.34,2.02,1.34,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,17.06,37.64,31.16,4.08,1.51,0,4.08,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya ,18.27,34.95,20.59,1.87,2,1.12,9.39,0,10.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal ,16.81,25.35,48.86,2.6,0,0,2.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,9.9,19.57,38.35,5.93,4.66,6.4,6.58,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
