"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","Opera","Nokia","BlackBerry","Maxthon","UC Browser","NetFront","iPod Touch","Sony PS3","Chromium","Iron","Obigo","Flock","Windows Media Player"
Bermuda ,60.79,12.67,9.38,15.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,23.45,35.84,31.69,2.81,0,0,3.62,1.06,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,20.49,41.98,15.5,4.65,1.84,2.81,5.33,4.58,0,0,0,1.15,0,0,0,0,0,0,0
Yemen ,32.1,33.55,25.09,0,0,0,4.88,1.81,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,54.81,12.26,20.94,8.23,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,14.55,26.24,22.29,8.2,3.25,2.37,9.75,10.88,0,0,0,0,0,0,0,0,0,0,0
Macao ,51.86,17.42,17.83,6.26,1.84,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola ,57.62,16.28,14.44,5.67,0,0,3.37,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,43.06,15.24,29.4,7.89,0,0,1.06,0,0,0,0,0,0,1.12,0,0,0,0,0
Netherlands Antilles ,48.67,17.49,23.68,7,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,37.52,25.61,11.6,2.58,0,1.07,10.68,8.6,0,0,0,0,0,0,0,0,0,0,0
Uganda ,23.88,50.55,11.82,2.41,0,0,7.18,1.52,0,0,0,0,0,0,0,0,0,0,0
Reunion ,23.96,41.28,21.41,7.95,1.49,1.18,1.33,0,0,0,0,0,0,0,0,0,0,0,0
Barbados ,32.71,27.95,31.71,3.83,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey ,61.82,10.64,12.01,11.08,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives ,15.33,47.38,24.82,3.47,0,0,2.23,3.82,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,22.79,35.61,11.12,1.39,0,0,20.4,5.46,0,0,1.11,0,0,0,0,0,0,0,0
Tanzania ,34.76,27.54,11.45,3.82,0,0,15.8,3.3,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,19.32,65.75,9.33,1.04,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0
Suriname ,52.02,22.95,17.07,2.53,0,0,2.55,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,49.05,17.4,18.54,10.8,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,26.43,38.29,22.17,1.9,0,0,6.91,1.3,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,42.15,24.89,14.71,3.15,0,0,9.2,3.84,0,0,0,0,0,0,0,0,0,0,0
Guam ,31.66,23.62,27.64,10.52,1.25,2.19,0,0,0,0,0,0,1.15,0,0,0,0,0,0
Namibia ,53.11,19.51,13.71,3.2,0,0,5.64,2.02,0,0,0,0,0,0,0,0,0,0,0
Botswana ,44.69,26.76,17.64,2.59,0,0,4.07,1.73,0,0,0,0,0,0,0,0,0,0,0
Aruba ,45.96,21.36,22.33,7.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,35.07,28.19,25.56,7.19,1.05,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0
Jersey ,41.63,15.71,19.13,18.07,1.6,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique ,35.88,28.64,26.22,4.68,1.31,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,13.03,18.05,14.02,1.73,0,1.09,48.55,1.77,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,46.46,27.31,13.12,4.52,0,0,5.15,1.33,0,0,0,0,0,0,0,0,0,0,0
Cuba ,21.68,69.39,4.97,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,28.19,23.55,9.79,2.81,0,0,29.63,2.62,0,0,0,0,0,0,0,0,0,0,0
Fiji ,32.61,39.77,17.99,4.44,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,16.1,54.53,19.18,2.9,0,0,4.45,0,0,0,0,0,0,0,0,0,0,0,0
 ,17.31,55.77,6.45,26.92,1.26,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0
