"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Opera","Yandex Browser","BlackBerry","UC Browser","Nokia","NetFront","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","IEMobile","iPod Touch","Silk","Samsung","Openwave Mobile Browser","Obigo","Unknown","Midori","Iron","Maemo browser","Sony PS3"
Nigeria ,8.44,9.54,19.23,3.81,0,2.19,35.88,0,0,11.88,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica ,20.48,37.53,18.01,5,2.56,6.59,4.32,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,15.39,46.26,24.43,1.2,0,4.46,4,0,0,0,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia ,5.83,55.74,11.87,1.52,0,0,22.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro ,9.18,49.36,28.87,1.82,0,3.02,4.59,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia ,26.89,32.27,30.84,2.79,1.14,3.11,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,25.65,30.17,14.09,10.97,4.12,10.31,0,0,0,0,0,0,0,0,0,0,0,1.71,0,0,0,0,0,0,0,0,0
El Salvador ,19.27,45.19,23.77,2.99,0,2.3,3.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,3.47,72.18,15.41,1.98,0,0,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus ,9.73,31.22,19.37,1.76,0,1.44,33.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,12.29,40.25,19.37,3.47,1.33,2.88,17.06,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova ,7.9,60.5,20.58,1.56,0,1.3,5.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait ,23.49,23.66,9.38,8.27,11.34,10.27,8.11,0,2.08,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,14.53,39.14,34.66,3.91,0,2,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia ,19.52,36.99,32.11,5.14,0,2.32,2.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,19.35,44.98,27.8,1.26,1.08,2.1,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,20.7,46.89,17.34,5.97,1.01,3.91,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,27.48,36.37,21.99,6.62,1.56,3.28,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama ,31.61,36.97,13.03,6.04,1.1,7.91,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya ,10.61,17.05,37.04,3.14,0,3.55,21.54,0,0,1.4,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal ,7.45,36.74,27.14,2.29,1.89,2.95,14.03,0,0,3.61,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras ,23.12,43.41,19.7,4.08,1.61,2.65,2.05,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen ,9.93,34.6,33.85,1.32,3.16,5.55,8,0,0,1.02,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,2.84,5.79,47.5,2.52,3.04,32.51,1.97,0,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan ,10.73,9.68,22.21,0,0,4.11,31.55,0,0,2.06,15.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,21.83,29.96,15.32,7.84,5.25,12.75,2.67,0,0,0,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,17.67,44.78,23.57,5.17,0,2.43,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,46.47,22.62,8.72,15.94,2.89,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland ,16.07,45.96,21.04,12.44,1.09,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,16.56,43.9,27.36,2.36,1.07,2.12,3.53,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,29.73,24.62,9.79,6.93,6.05,13.95,2.18,0,1.1,1.52,3.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,13.49,19.65,39.31,1.42,1.33,8.14,3.95,0,0,2.13,8.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana ,8.95,15.44,39.77,3.13,0,4.03,17.99,0,0,4.7,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman ,24.19,25.21,10.75,3.43,2.04,14.05,1.63,0,1.77,6.75,9.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta ,25.22,44.46,15.73,7.81,1.6,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya ,15.49,39.33,20.15,2.56,1.27,4.73,9.69,0,0,0,5.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,15.45,39.08,27.75,4.24,0,3.44,4.6,0,0,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia ,6.34,31.35,46.96,3.85,1.41,6.91,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal ,18.38,28.57,42.1,3.31,1.06,2.4,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,16.99,9.86,19.09,2.02,0,1.38,44.06,0,0,1.55,3.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda ,50.24,14.09,8.29,23.23,1.34,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,7.34,20.22,33.3,7.3,10.29,9.11,4.76,0,0,2.02,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,27.54,20.95,27.03,14.01,4.88,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,9,24.2,18.9,9.58,3.55,11.73,16.71,0,0,1.03,3.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,30.33,33.35,11.78,13.17,2.07,4.43,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0
Tanzania ,20,12.92,29.98,3.78,1.06,4.32,16.31,0,0,3.51,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion ,16.78,27.76,34.75,9.49,2.44,5.96,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados ,22.52,40.54,21.66,7.52,0,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,11.52,13.53,40.06,3,0,3.36,19.14,0,0,2.48,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,25.78,31.45,13.76,8.9,6.42,10.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,9.21,13.61,29.58,1.41,1.35,1.52,26.54,0,0,7.29,7.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives ,7.61,36.68,35.09,5.4,2.21,4.73,2.77,0,0,1.37,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,9.86,13.56,63.19,1.96,0,1.16,6.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,13.48,30.02,35.79,3.13,0,3.38,6.48,0,0,1.64,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,41.69,20.91,12.3,18.17,2.81,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
