"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Opera","Nokia","UC Browser","NetFront","Dolfin","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","BlackBerry","Yandex Browser","IEMobile","iPod Touch","Sony PS3","Obigo","Samsung","Phantom","Openwave Mobile Browser","Unknown","Iron","Maemo browser","RockMelt","Pale Moon"
Croatia ,15.63,34.45,39.49,2.43,1.46,2.52,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic ,22.22,33.54,32.52,2.68,0,1.66,5.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine ,11.88,32.96,26.56,2.61,0,0,22.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador ,17.8,39.24,33.81,2.76,0,2.27,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,9.74,58.99,21.94,1.69,1.01,1.33,2.13,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran ,29.82,12.97,34.17,1.15,0,2.53,4.81,1.94,10.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq ,21.59,41.39,22.59,1.91,1.72,4.78,2.2,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania ,9.54,56.29,24.16,2.31,2.12,1.69,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand ,27.04,32,18.4,13.09,3.18,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa ,34.97,20.95,15.54,8.27,2.18,4.42,9.78,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,12.31,35.41,31.5,1.14,0,1.67,8.85,3.43,2.03,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia ,5.97,55.54,31.52,0,0,1.9,2.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,4.51,14.12,36.37,0,0,1.47,19.62,8.5,10.84,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,13.74,58.22,17.09,3.75,1.51,1.75,1.58,0,0,0,0,0,0,0,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,21.21,30.33,40.16,3.6,0,2.19,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,12.05,38.88,35.01,2.66,0,2.45,7.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania ,17.33,34.19,37.66,2.07,0,1.33,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,17.41,54.16,23.34,1.57,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan ,15.76,50.71,14.41,2.42,1.43,4.31,5.82,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,25.44,38.02,18.79,4.36,2.72,3.71,3.81,0,0,0,0,0,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,10.46,43.63,7.32,1.53,0,2.76,30.11,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria ,7.59,9.17,18.17,3.18,0,1.52,36.52,7.85,13.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar ,29.4,36,11.39,5.62,1.76,4.25,4.8,3.83,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica ,21.4,37.41,18.56,4.64,2.2,5.67,4.27,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
