"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","BlackBerry","Nokia","UC Browser","NetFront","Dolfin","Maxthon","TheWorld","Flock","SeaMonkey","Comodo Dragon","iPod Touch","Obigo","Iron","Windows Media Player","IEMobile","Mozilla","Chromium"
New Zealand ,34.79,25.87,21.85,11.43,1.41,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,22.92,38.44,32.68,0,0,0,1.71,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia ,8.24,52.1,34.57,0,0,0,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador ,26.6,34.46,32.2,2.47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,27.64,22.77,42.91,2.8,0,0,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia ,12.39,56.84,24.98,1.15,0,0,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,17.58,54.05,20.51,3.63,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco ,24.53,35.45,31.96,1.44,0,0,3.23,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,35,31.92,21.89,3.68,1.23,1.58,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania ,23.29,26,39.84,1.78,0,0,7.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,17.19,32.25,36.66,2.21,1.04,0,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria ,23.91,31.66,39.71,0,0,0,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus ,11.07,19.73,21.16,0,0,0,45.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,18.94,32.83,32.79,0,0,0,8.04,0,3.11,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,21.11,49.09,26.24,1.35,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania ,11.6,58.61,23.82,1.09,0,0,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq ,37.44,28.78,23.53,1.07,0,0,3.17,0,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan ,28.22,44.52,17.01,1.67,0,0,3.63,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,40.31,25.84,21.19,4.92,1.12,2.22,1.63,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar ,41.02,31.11,13.46,4.85,0,1.25,2.59,0,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait ,38.09,19.51,11.86,6.07,2.6,9.07,3.28,5.17,2.61,0,0,0,0,0,0,0,0,1.24,0,0,0,0,0,0
Puerto Rico ,34.08,27.25,18.58,8.67,5.89,1.86,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0
Bolivia ,39.89,23.22,31.1,2.03,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica ,26.8,30.7,22.76,4.58,2.52,1.56,4.05,0,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro ,14.15,45.14,31.11,1.22,0,0,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,6.93,63.65,21.36,1.22,0,0,5.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova ,10.63,52.79,25.5,0,0,0,9.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,22.02,29.62,38.14,2.5,0,0,6.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,17.34,34.7,10.25,1.2,0,0,33.44,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador ,25.13,39.84,28.42,2.11,0,0,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia ,25.65,26.51,37.11,4.29,0,0,4.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,14,25.78,25.17,1.55,0,0,31.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama ,41.38,31.12,16.62,4.92,1.89,0,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras ,31.03,33.86,21.31,2.86,1.4,1.22,2.66,1.02,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,46.53,2.35,47.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,36.14,30.85,24.59,4.77,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,26.85,43.01,22,4.37,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya ,17.35,13.87,40.2,2.54,1.33,0,20.92,0,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,44.33,22.62,12.47,5.4,2.11,4.07,3.23,1.1,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
