"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","Opera","Nokia","BlackBerry","Maxthon","UC Browser","NetFront","iPod Touch","Sony PS3","Iron","Obigo","Windows Media Player","Flock","Chromium","AppleWebKit"
Cayman Islands ,43.36,20.6,18.96,12.81,0,0,0,0,1.42,0,0,0,0,0,0,0,0,0,0,0
Haiti ,44.17,22.63,16.48,5.51,0,0,5.49,0,0,0,0,1.68,0,0,0,0,0,0,0,0
Guyana ,35.93,34.39,23.96,1.94,0,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia ,25.7,38.64,19.75,12.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,40.11,20.99,7.99,2.09,0,0,22.12,4.09,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,27.32,20.79,46.15,3.06,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize ,31.57,37.79,23,4.08,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde ,53.69,19.72,22.52,2.12,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra ,42.1,21.93,23.63,9.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,32.47,31.32,20.53,12.47,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,35.44,34.26,23.34,4.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin ,40.85,38.93,15.09,1.78,0,0,2.26,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,36.64,27.08,26.5,7.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,42.39,22.42,23.67,8.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,25.58,45.86,15.47,3.74,0,0,6.14,1.5,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,37.46,24.59,25.4,8.44,0,0,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,39.48,16.73,36.28,2.92,1.45,0,0,0,0,0,0,0,0,0,1.42,0,0,0,0,0
Monaco ,39.7,22.78,12.77,20,0,0,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,47.82,27.25,8.84,11.68,0,1.24,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),38.11,31.22,12.27,3.08,0,0,7.52,4.72,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,51.52,18.31,16.33,10.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica ,34.58,24.73,31.06,6.35,0,0,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,44.89,13.77,7.93,2.46,0,0,17.46,5.65,0,0,0,1.03,0,0,0,4.78,0,0,0,0
Kyrgyz Republic ,23.65,19.6,17.2,2.59,0,0,34.71,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon ,41.34,25.38,14.13,6.79,0,0,7.86,1.32,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,41.13,32.91,11.78,2.22,0,0,7.2,1.82,0,0,0,0,0,0,0,0,0,0,0,0
Togo ,32.1,53.63,7.16,2.1,0,0,2.61,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,40.36,27.46,19.93,1.82,0,0,6.23,2.46,0,0,0,0,0,0,0,0,0,0,0,0
Mali ,40.48,35.4,14.82,3.6,0,0,1.58,1.48,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,59.5,18.33,8.77,2.02,0,0,8.22,1.6,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,22.29,51,8.87,2.54,0,0,8.76,2.45,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan ,27.57,31.49,32.21,2.61,0,0,4.29,1.06,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,44.36,18.64,24.75,8.67,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,27.46,25.91,31.76,1.78,0,0,7.49,3.6,0,0,0,0,0,0,0,0,0,0,0,0
Greenland ,59.44,15.67,11.1,9.94,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,24.65,18.91,19.38,1.69,0,0,33.03,1.16,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,50.27,15.64,9.36,2.29,0,0,18.94,2.08,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,38.24,31.9,18.31,9.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,53.04,16.51,20.76,6.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,51.86,18.76,11.54,2.28,0,0,11.06,2.4,0,0,0,0,0,0,0,0,0,0,0,0
Somalia ,45.8,25.46,13.52,0,0,0,11.53,2.34,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),44.78,33.08,9.02,2.69,0,0,6.5,1.22,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,39.79,34.56,7.48,2.26,0,0,12.14,1.9,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,28.67,46.24,13.25,4.99,0,0,2.68,3.2,0,0,0,0,0,0,0,0,0,0,0,0
Niger ,33.07,27.57,10.85,2.1,0,0,13.82,8.4,0,0,0,1.4,0,0,0,0,0,0,0,0
Liberia ,47.92,28.06,11.67,7.18,0,0,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,33.22,30.31,23.74,9.17,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,28.27,18.65,13.9,2.02,1.72,2.39,25.78,4.78,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia ,38.36,38.39,16.01,4.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,44.28,22.42,8.41,5.34,0,0,13.1,4.57,0,0,0,0,0,0,0,0,0,0,0,0
Burundi ,36.54,38.86,12.45,2.98,0,0,6.15,1.11,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,41.59,37.68,13.6,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,40.76,31.58,16.72,7.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa ,50.73,27.81,13.05,3.16,0,0,2.27,1.14,0,0,0,0,0,0,0,0,0,0,0,0
Tonga ,25.4,58.15,8.73,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea ,44.48,33.94,7.29,3.66,1.25,0,5.21,1.76,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,64.88,17.43,11.74,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,51.62,24.69,12.98,8.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,65.08,24.91,7.29,2.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,42.89,27.07,23.41,4.03,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,54.48,24.77,15.15,1.74,0,0,2.11,1.28,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,71,16.56,8.5,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,40.71,32.38,16.33,7.54,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0
Kiribati ,28.57,55.49,10.94,1.73,0,0,1.36,0,0,0,0,0,0,0,0,0,0,1.34,0,0
Eritrea ,48.08,40.94,4.82,0,0,0,4.96,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,34.97,34.24,21.61,7.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena ,83.69,9.71,5.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros ,44.08,31.79,14,6.42,0,0,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,42.95,38.45,7.14,9.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic ,44.26,28.24,20.37,1.4,0,0,3.17,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,28.99,26.39,4.71,4.68,0,0,23.58,7.3,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,27.39,35.52,31.27,4.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea ,49.15,24.11,8.64,0,0,0,3.94,0,0,13.55,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,24.65,47.15,21.38,4.46,0,0,0,0,0,0,0,0,1.88,0,0,0,0,0,0,0
Tuvalu ,25.03,62.5,10.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,11.03,61.03,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.15,0
Christmas Island ,1.44,78.7,17.69,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
