"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","BlackBerry","Opera","Nokia","Maxthon","UC Browser","NetFront","iPod Touch","Sony PS3","Jasmine","Obigo","Windows Media Player","Chromium"
Nicaragua ,27.1,40.42,26.51,1.29,0,0,0,1.31,1.2,0,0,0,0,0,0,0,0,0
Armenia ,8.51,26.41,56.38,1.12,0,0,0,6.91,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,39.95,28.95,24.81,0,0,0,0,3.99,1.02,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,29.71,25.11,38.15,3.42,0,0,0,1.23,0,0,0,0,0,0,0,0,0,0
Nepal ,21.49,34.79,27.89,1.37,0,0,0,11.71,1.19,0,0,0,0,0,0,0,0,0
Kenya ,19.92,39.45,11.96,2.45,1.43,0,0,21.02,2.13,0,0,0,0,0,0,0,0,0
Moldova ,12.49,32.99,42.31,0,0,0,0,10.68,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,18.21,28.82,17.35,1.53,0,0,0,32.94,0,0,0,0,0,0,0,0,0,0
Jamaica ,27.11,29.89,35.34,3.32,0,0,0,1.95,0,0,0,0,0,0,0,0,0,0
Ghana ,17.34,48.62,11.77,2.05,0,0,0,14.49,2.07,0,0,0,0,0,0,0,0,0
Iceland ,25.81,30.06,30.63,10.02,0,0,0,1.99,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,26.33,14.91,23.69,1.39,0,0,0,31.7,1.1,0,0,0,0,0,0,0,0,0
Malta ,38.75,21.25,32.48,4.14,0,0,0,1.22,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,13.5,26.02,21.89,7.53,3.12,2.09,0,7.1,15.65,0,0,0,0,0,0,0,0,0
Cambodia ,22.25,41.02,13.81,3.62,1.64,2.52,0,6.52,5.56,0,0,1.7,0,0,0,0,0,0
Senegal ,22.45,53.28,19.39,2.01,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0
Sudan ,32.31,24.72,7.43,0,0,0,0,24.03,8.8,0,0,0,0,0,0,0,0,0
Angola ,59.89,16.99,13.78,4.4,0,0,0,2.81,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,41.78,26.19,11.23,2.02,0,0,0,9.9,6.33,0,0,0,0,0,0,0,0,0
Mauritius ,24.65,36.86,29.16,2.74,0,0,0,4,1.11,0,0,0,0,0,0,0,0,0
Bermuda ,60.18,13.89,9.19,15.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,53.92,12.99,21.46,7.67,0,1.86,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,34.24,34.42,13.67,11.66,0,2.54,0,1.59,0,0,0,0,0,0,0,0,0,0
Yemen ,32.17,33.79,23.32,0,0,0,0,6.78,1.76,0,0,0,0,0,0,0,0,0
Macao ,50.15,18.77,17.98,6.04,1.43,2.69,0,0,0,1.16,0,0,0,0,0,0,0,0
Bahamas ,43.12,16.52,27.09,8.51,0,0,0,1.22,0,0,0,0,0,1.12,0,0,0,0
Netherlands Antilles ,50.21,19.29,20.53,6.39,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0
Reunion ,24.01,44.43,19.27,7.41,0,0,0,1.33,0,0,0,0,0,0,0,0,0,0
Uganda ,27.44,48.09,11.05,2.23,0,0,0,7.53,1.71,0,0,0,0,0,0,0,0,0
Barbados ,33.36,29.37,29.21,4.02,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0
Mozambique ,44,27.19,13.33,2.3,0,0,0,7.94,3.5,0,0,0,0,0,0,0,0,0
Tanzania ,37.74,27.99,10.37,3.57,0,0,0,14.52,3.4,0,0,0,0,0,0,0,0,0
Cameroon ,20.47,66.62,8.47,1.26,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0
Maldives ,15.51,46.37,24.36,3.62,0,0,0,2.93,4.33,0,0,0,0,0,0,0,0,0
Cote dIvoire ,27.52,42.66,21.3,1.55,0,0,0,3.96,1.38,0,0,0,0,0,0,0,0,0
Ethiopia ,26.58,36.22,10.95,1.18,0,0,0,17.67,5.35,0,0,0,0,0,0,0,0,0
Isle of Man ,50.69,17.66,17.96,9.62,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0
Botswana ,45.87,24.98,18.59,2.41,0,0,0,3.33,2.63,0,0,0,0,0,0,0,0,0
Guam ,33.3,22.79,27.13,9.76,1.54,1.91,0,0,0,0,0,0,1.44,0,0,0,0,0
Libya ,39.57,21.72,28.91,0,0,0,0,4.79,3.39,0,0,0,0,0,0,0,0,0
Namibia ,52.08,19.98,13.1,3.31,0,0,0,6.34,2.24,0,0,0,0,0,0,0,0,0
Suriname ,50.45,23.35,17.69,2.2,0,0,0,2.66,0,0,0,0,0,0,0,0,0,0
Aruba ,47.35,20.44,21.23,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,34.4,28.14,25.55,7.77,1.01,0,0,1.15,0,0,0,0,0,0,0,0,0,0
Jersey ,39.45,16.77,19.29,19.48,1.39,1.35,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,46.59,27.2,11.76,4.8,0,0,0,6.15,1.86,0,0,0,0,0,0,0,0,0
Martinique ,34.66,30.85,24.59,5.52,1.07,0,0,1.36,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,28.24,24.41,9.48,2.45,0,0,0,29.49,3.21,0,0,0,0,0,0,0,0,0
Uzbekistan ,15.1,20.64,12.55,1.98,0,0,0,45.42,1.96,0,0,0,0,0,0,0,0,0
Cuba ,24.39,66.49,4.7,0,0,0,0,2.29,0,0,0,0,0,0,0,0,0,0
Guernsey ,43.49,16.99,16.85,15.5,1.03,2.36,0,1.69,0,0,0,0,1.02,0,0,0,0,0
Madagascar ,16.29,55.9,19.08,2.53,0,0,0,3.91,0,0,0,0,0,0,0,0,0,0
Fiji ,35.91,40.85,16.65,3.7,0,0,0,1.42,0,0,0,0,0,0,0,0,0,0
Grenada ,38.79,22.31,32.61,4.09,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0
Zambia ,34.8,26.49,9.89,2.43,0,0,0,22.12,1.83,0,0,0,0,0,0,0,0,0
Saint Lucia ,36.21,26.88,29.2,3.35,0,0,0,3,0,0,0,0,0,0,0,0,0,0
 ,3.7,96.3,7.58,9.62,1.45,1.45,0,0,0,0,0,0,0,0,0,0,0,0
Haiti ,46.21,22.45,18.14,5.36,0,0,0,3.32,0,0,0,1.03,0,0,0,0,0,0
Seychelles ,46.8,29.16,15.83,3.62,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,25.76,21.04,46.99,2.74,0,0,0,2.16,0,0,0,0,0,0,0,0,0,0
Malawi ,39.63,21.13,7.47,1.67,0,0,0,23.27,4.04,0,0,0,0,0,0,0,0,0
French Polynesia ,23.3,38.88,16.41,12.73,0,0,0,1.15,0,0,0,1.61,0,0,1.51,0,0,0
Cayman Islands ,41.44,20.25,19.3,13.99,0,0,1.83,0,0,0,0,0,0,0,0,0,0,0
Guyana ,36.76,33.82,23.37,1.9,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0
Belize ,33.93,37.62,20.47,3.97,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0
Cape Verde ,54.1,20.24,21.14,2.3,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0
New Caledonia ,32.35,32,20.75,11.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,34.87,34.97,23.46,4.23,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra ,41.82,22.3,23.79,8.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,38.53,24.07,24.81,7.94,0,0,0,1.53,0,0,0,0,1.4,0,0,0,0,0
Northern Mariana Islands ,36.47,17.6,38.8,2.53,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,36.73,26.82,28.1,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,23.9,47.69,15.91,3.37,0,0,0,6.31,1.25,0,0,0,0,0,0,0,0,0
Benin ,34.34,45.64,14.43,1.85,0,0,0,2.62,0,0,0,0,0,0,0,0,0,0
Gibraltar ,42.41,23.52,22.91,7.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,48.36,29.36,8.52,10.31,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),40.84,31.9,10.7,2.85,0,0,0,7.12,3.92,0,0,0,0,0,0,0,0,0
Papua New Guinea ,46.41,14.79,7.07,2.73,0,0,0,16.45,5.35,0,0,1.09,0,0,0,3.94,0,0
Burkina Faso ,42.37,33.41,11.27,1.81,0,0,0,7.32,1.52,0,0,0,0,0,0,0,0,0
Monaco ,38.04,22.11,12.54,21.41,0,1.23,0,2.74,0,0,0,0,0,0,0,0,0,0
Dominica ,34.49,25.74,31.15,5.59,0,0,0,1.82,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,49.81,19.31,16.86,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,60.51,18.58,9.18,1.72,0,0,0,7.24,1.59,0,0,0,0,0,0,0,0,0
Togo ,31.87,55.75,6.26,1.19,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0
Mali ,37.61,35.84,15.16,3.13,0,0,0,4.05,1.75,0,0,0,0,0,0,0,0,0
Gambia ,22.15,52.96,9.26,2.37,0,0,0,7.56,1.54,0,0,0,0,0,0,0,0,0
Mauritania ,28.1,28.24,30.98,0,0,0,0,5.85,4,0,0,0,0,0,0,0,0,0
Bhutan ,30.03,32.65,28.94,2.34,0,0,0,4.19,1.05,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,24.34,19.35,18.2,2.94,0,0,0,32.57,1.03,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,43,18.15,24.43,10.4,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,40.55,29.2,18.39,1.95,0,0,0,6.18,2.11,0,0,0,0,0,0,0,0,0
Gabon ,40.24,28.92,14.64,5.26,0,0,0,7.33,1.13,0,0,0,0,0,0,0,0,0
Tajikistan ,25,17.64,19.03,1.77,0,0,0,33.34,1.24,0,0,0,0,0,0,0,0,0
Greenland ,57.73,16.84,10.81,10.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,52.28,16.6,9.01,2.29,0,0,0,16.51,1.94,0,0,0,0,0,0,0,0,0
San Marino ,39.89,30.65,17.6,9.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,54.9,16.46,18.47,7.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,27.98,46.31,12.13,5.09,0,0,0,3.1,3.83,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,53.22,19.8,10.23,2.59,0,0,0,9.72,2.04,0,0,0,0,0,0,0,0,0
Sierra Leone ,38.82,35.7,6.05,1.6,0,0,0,14.09,2.13,0,0,0,0,0,0,0,0,0
Somalia ,43.59,26.23,16.07,0,0,0,0,11.03,1.8,0,0,0,0,0,0,0,0,0
Liberia ,47.49,27.98,10.96,8.53,0,0,0,2.23,1.65,0,0,0,0,0,0,0,0,0
American Samoa ,35.44,34.43,19.13,8.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger ,31.54,28.38,9.41,1.93,0,0,0,12.83,11.24,0,0,1.49,0,0,0,0,0,0
Congo (Republic of the),43.26,31.96,8.98,3.2,0,0,0,7.48,2,0,0,0,0,0,0,0,0,0
Turkmenistan ,31.6,17.85,12.37,1.88,1.7,1.76,0,24.11,5.89,0,0,0,0,0,0,0,0,0
Solomon Islands ,50.19,17.92,6.61,4.7,0,0,0,13.66,3.76,0,0,0,0,0,0,0,0,0
Micronesia ,43.41,34.32,15.44,3.93,0,0,0,0,0,0,0,0,0,0,0,0,1.24,0
Vanuatu ,41.74,31.23,14.46,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi ,37.97,37.96,12.03,2.91,0,0,0,5.66,1.72,0,0,0,0,0,0,0,0,0
Samoa ,48.44,29.35,11.47,5.23,0,0,0,2.13,1.77,0,0,0,0,0,0,0,0,0
Tonga ,32.44,51.19,8.79,5.3,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0
Saint Pierre and Miquelon ,34.04,40.24,17.95,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,53.6,25.07,13.01,6.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea ,44.96,34.13,10.07,2.62,2.01,0,0,2.13,1.83,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,62.57,19.04,12.79,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,42.61,23.72,28.41,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea ,47.71,44.95,2.95,0,0,0,0,3.34,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,62.81,29.91,6.09,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,37.7,42.1,11.64,5.26,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,54.72,26.16,14.15,1.86,0,0,0,1.31,1.47,0,0,0,0,0,0,0,0,0
Palau ,34.95,37.27,15.81,8.89,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0
Kiribati ,35.81,50.01,10.12,2.57,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
Comoros ,49.45,30.15,14.09,2.53,0,0,0,2.38,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,59.87,21.71,12.66,2.74,0,0,0,0,1.31,0,0,0,0,0,0,0,0,0
Saint Helena ,82.64,10.56,6.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,48.67,24.45,10.02,4.99,3.98,0,0,6.9,0,0,0,0,0,0,0,0,0,0
Central African Republic ,42.72,35.49,16.25,2.53,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0
Chad ,30.72,26.04,4.65,1.23,0,0,0,24.05,7.95,2.02,0,0,0,0,0,0,0,0
Niue ,21.89,38.72,35.37,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,23.15,43.93,21.62,9.24,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0
Tuvalu ,16.31,63.76,15.75,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea ,43.11,41.53,3.16,2.15,0,0,0,1.8,0,7.83,0,0,0,0,0,0,0,0
Nauru ,3.31,90.59,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54
Christmas Island ,1.3,84.42,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
