"Continent","Chrome","IE","Firefox","Safari","iPhone","Android","360 Safe Browser","Yandex Browser","Opera","IEMobile","UC Browser","Nokia","NetFront","Unknown","BlackBerry","Sogou Explorer","QQ Browser","Maxthon","Chromium","CoRom+","Phantom","Puffin","iPod Touch","SonyEricsson","Obigo","Openwave Mobile Browser","Silk","Iron","Kindle","Mozilla","Iceweasel"
Macedonia ,59.5,3.87,24.75,1.58,1.84,4.05,0,0,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,45.27,11.38,26.6,3.33,1.16,4.23,0,0,6.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,50.16,4.43,3.83,1.99,3.05,9.71,0,2.57,19.08,0,0,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,58.41,8.96,20.15,2.41,0,4.06,0,0,1.37,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,43.21,14.6,29.92,4.56,1.17,3.89,0,0,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,57.63,8.5,12.23,5.3,3.7,6.15,0,0,1.84,0,0,0,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar ,40.53,13.71,7.85,6.63,4.26,8.2,0,0,10.81,0,4.61,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania ,42.88,13.23,28.73,2.88,0,2.88,0,0,6.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan ,48.12,8.86,10.23,3.25,3.53,15.58,0,0,4.66,1.05,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia ,41.52,13.68,24.11,2.45,2.83,9.06,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia ,40.87,15.17,23.83,6.4,1.41,4.99,0,0,2.1,0,0,0,0,0,0,0,0,0,3.58,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica ,42.68,10.67,13.28,6.26,4.28,12.38,0,0,4.7,1.34,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador ,48.89,11.24,19.01,4.02,2.28,7.66,0,0,3.06,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,6.59,3.88,10.6,1.13,0,10.77,0,0,44,1.01,6.42,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia ,60.76,4.54,7.76,1.48,0,1.75,0,0,19.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,38.59,18.64,11.02,10.93,6.29,9.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0,0,0
Kuwait ,29.38,13.58,6.13,9.38,16.33,9.9,0,0,11.02,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro ,51.24,5.17,21.22,2.8,1.89,9.56,0,0,4.74,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,47.31,18.25,16.28,8.31,2.5,4.77,0,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,46.96,7.68,17.9,1.47,0,10.23,0,0,5.38,1.8,0,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal ,36.53,3.39,18.11,2.31,2.7,6.53,0,0,17.84,0,7.26,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,51.72,15.15,12.87,6.38,1.83,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,48.21,8.24,12.23,3.63,3.4,6.88,0,2.47,10.98,0,1.2,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,45.86,10.39,29.2,4.48,1.48,2.98,0,0,3.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,52.42,10.51,15.45,4.86,1.73,7.57,0,0,2.35,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,51.01,10,24.73,1.9,1.89,6.33,0,0,1.65,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
