"Continent","Chrome","IE","Safari","Firefox","iPhone","Android","360 Safe Browser","Yandex Browser","Opera","UC Browser","Nokia","NetFront","Unknown","BlackBerry","IEMobile","Sogou Explorer","QQ Browser","Maxthon","CoRom+","Puffin","Openwave Mobile Browser","SonyEricsson","iPod Touch","Obigo","Silk","Phantom","Samsung","Dolfin","Jasmine","Midori","Iron"
Namibia ,17.69,16.34,3.8,8.76,2.12,7.8,0,0,26.54,1.92,11.04,0,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,26.12,4.27,1.81,7.98,5.06,7.18,0,0,25.24,10.05,8.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,42.45,8.3,2.44,8.01,2.35,5.85,0,1.19,22.16,2.09,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,41.98,17.93,10.1,12.82,2.37,8.55,0,0,1.71,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0,1.04,0,0,0,0,0,0
Mali ,4.72,4.38,1.1,6.13,0,7.75,0,0,25.83,5.27,7.13,14.55,0,0,0,0,0,0,0,0,8.34,0,0,3.54,0,5.62,0,1.38,1.09,0,0
Cuba ,10.92,10.43,0,74.5,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,27.51,28.4,22.36,11.86,4.3,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba ,31.39,26.14,15.3,9.43,7.17,7.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,22.87,14.84,4.21,21.54,5.72,7.66,0,0,10.33,4.95,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,18.13,5.7,2.25,24.5,0,3.01,0,0,35.22,4.48,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana ,23.91,18.96,3.77,19.01,1.34,4.67,0,0,8.12,6.92,7.63,1.08,0,1.64,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey ,28.93,22.4,27.6,11.84,5.14,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde ,50.81,21.59,3.64,14.52,1.21,3.22,0,0,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti ,19.57,12.58,5.27,10.48,2.77,8.61,0,0,10.57,4.45,1.24,7.79,2.77,0,0,0,0,0,0,0,0,0,0,9.61,0,0,0,0,0,0,0
