"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","BlackBerry","Opera","Nokia","Maxthon","UC Browser","NetFront","iPod Touch","Bolt","Sony PS3","Mozilla","Obigo","Windows Media Player","SeaMonkey","Chromium"
Senegal ,21.9,57.02,16.99,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,14.65,26.92,20.75,6.99,2.72,1.94,0,6.61,15.99,0,0,0,0,0,0,0,0,0,0,0
Malta ,38.98,21.95,31.74,3.97,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,24.49,40.14,12.84,3.56,1.38,2.37,0,6.47,5.42,0,0,1.87,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,42.96,25.11,10.55,1.91,0,0,0,9.67,7.26,0,0,0,0,0,0,0,0,0,0,0
Angola ,60.21,17.82,12.82,4.26,0,0,0,2.82,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,24.59,37.05,28.63,2.63,0,0,0,4.34,1.44,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,34.77,34.09,13.74,11.9,0,2.7,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda ,59.84,13.54,8.94,16.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,50.6,19.72,17.25,6.02,1.24,2.16,0,0,0,1.22,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,55.09,13.66,19.97,7.48,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,43.27,16.81,27.09,8.38,0,0,0,1.17,0,0,0,0,0,0,1.06,0,0,0,0,0
Netherlands Antilles ,50.59,19.55,20.31,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados ,34.32,29.32,28.88,3.7,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0
Reunion ,24.44,44.76,18.51,7.71,0,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,28.97,48.49,10.58,2.28,0,0,0,5.85,1.91,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,45.94,26.33,12.96,2.2,0,0,0,7.85,3.51,0,0,0,0,0,0,0,0,0,0,0
Maldives ,16.67,48.31,22.11,3.3,0,0,0,2.5,3.97,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,21.14,66.19,7.96,1.13,0,0,0,2.54,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,38.98,27.66,10.27,2.96,0,0,0,14.85,3.07,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,50.91,16.99,17.68,10.61,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,28.41,44.64,19.33,1.45,0,0,0,3.4,1.35,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,28.01,35.9,10.62,1.23,0,0,0,17.33,4.93,0,0,0,0,0,0,0,0,0,0,0
Guam ,33.58,22.72,27.14,9.61,1.34,2.15,0,0,0,0,0,0,1.42,0,0,0,0,0,0,0
Suriname ,52.46,23.25,15.82,2.01,0,0,0,3.07,0,0,0,0,0,0,0,0,0,0,0,0
Namibia ,53.02,19.81,12.74,3.49,0,0,0,6.08,2.3,0,0,0,0,0,0,0,0,0,0,0
Jersey ,43.03,16.28,16.6,18.77,1.81,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba ,45.94,22.15,21.62,7.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana ,45.6,24.13,18.87,2.84,0,0,0,3.87,2.52,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,48.73,28.16,10.43,4.11,0,0,0,5.52,1.34,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,34.3,29.22,24.07,8.18,0,0,0,1.51,0,0,0,0,0,0,0,0,0,0,0,0
Martinique ,37.61,29.41,23.92,5.28,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,15.46,21.25,11.56,1.63,0,0,0,46.48,1.6,0,0,0,0,0,0,0,0,0,0,0
Guernsey ,44.29,16.95,15.46,16.16,0,1.92,0,1.93,0,0,0,0,0,0,0,0,0,0,0,0
Cuba ,23.68,67.12,4.53,0,0,0,0,2.15,0,0,0,0,0,0,0,1.3,0,0,0,0
Madagascar ,17.42,51.77,22.68,2.3,0,0,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0
Fiji ,36.92,39.52,16.85,3.64,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0
Haiti ,48.63,23.66,18.75,4.84,0,0,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,28.53,25.66,9.43,2.57,0,0,0,28.5,2.78,0,0,0,0,0,0,0,0,0,0,0
 ,2.3,14.94,3.51,82.3,1.44,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia ,26.66,38.46,17.9,13.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,37.33,27.08,28.66,4.02,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,40.05,24.58,18.47,12.08,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya ,45.57,21.66,26.87,0,0,0,0,2.63,1.66,0,0,0,0,0,0,0,0,0,0,0
Guyana ,36.79,33.82,23.79,1.78,0,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,34.09,28.72,9.19,2.97,0,0,0,21.35,1.47,0,0,0,0,0,0,0,0,0,0,0
Belize ,39.3,34.94,18.37,3.53,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,36.75,23.71,34.07,3.03,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,26.19,20.05,48.44,2.91,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde ,54.48,22.07,19.16,2.2,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,38.42,22.51,7.76,2.06,0,0,0,23.05,3.81,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,32,31.74,21.71,11.74,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0
Andorra ,43.43,21.5,23.05,8.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,37.9,25.1,28.02,6.28,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,33.1,35.74,23.8,4.42,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,37.98,25.15,23.95,9.2,0,0,0,1.23,0,0,0,0,1.2,0,0,0,0,0,0,0
Congo (Democratic Republic of the),47.33,28.55,9.4,2.56,0,0,0,6.58,3.48,0,0,0,0,0,0,0,0,0,0,0
Benin ,35.97,45.61,12.83,1.45,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0
