"Continent","Chrome","IE","Firefox","Safari","iPhone","Android","Yandex Browser","Opera","UC Browser","Nokia","NetFront","BlackBerry","Sogou Explorer","Maxthon","QQ Browser","360 Safe Browser","CoRom+","IEMobile","iPod Touch","Sony PS3","Silk","Obigo","Phantom","Iron","Openwave Mobile Browser","Iceweasel"
Montenegro ,49.22,8.2,25.75,3.13,1.65,4.87,0,4.84,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador ,47.78,15.54,21.43,3.65,1.37,3.75,0,3.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait ,27.9,18.3,8.66,10.19,10.97,9.98,0,9.76,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,51.66,16.91,15.21,6.11,1.21,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,43.09,22.53,19.51,6.93,1.96,3.51,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,74.41,2.9,12.49,2.49,0,1.03,1.36,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,50.51,12.48,27.16,1.6,1.43,3.18,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya ,17.28,7.59,32.32,2.92,0,3.58,0,26.07,3.19,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,51.62,14.45,18.87,4.79,1.26,3.15,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama ,40.07,27.56,11.51,6.13,1.29,10.03,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,43.79,10.24,16.66,3.51,1.98,3.92,1.97,15.01,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,43.58,12.62,31.23,4.3,0,2.14,0,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia ,42.09,15.95,29.24,5.53,0,2.7,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus ,33.88,8.45,18.1,1.95,0,1.94,1.33,31.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova ,64.08,6.81,18.03,1.74,0,1.44,0,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,7.27,1.82,45.77,2.43,2.39,33.63,0,2.63,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras ,46.8,18,18.08,4.56,2.23,4.77,0,1.8,0,0,0,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan ,9.63,7.24,17.02,0,1.01,5.28,0,36.86,3.27,17.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,32.35,16.5,13.76,8.46,5.91,14.73,0,3.06,0,2.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,29.75,23.1,8.9,6.24,5.1,16.3,0,3.42,1.75,2.46,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,46.08,13.54,23.75,2.46,1.43,3.42,0,3.31,1.17,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen ,32.22,6.43,31.97,1.64,3.29,8.27,0,11.56,1.87,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,24.37,39.91,8.02,19.6,4.09,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,9.31,11.91,14.26,1.77,0,1.99,0,50.09,2.56,6.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman ,26.04,16.9,8.58,3.34,2.31,18.08,0,1.79,6.16,13.26,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland ,46.24,14.93,18.87,13.25,1.85,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta ,49.68,20.03,13.71,8.35,2.22,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,24.94,9.65,36.65,1.44,1.21,9.11,0,3.19,4.46,7.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana ,17.07,7.38,36.29,2.92,0,4.46,0,17.07,8.36,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,43,12.7,24.46,4.58,0,4.38,0,4.57,1.3,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya ,39.09,10.01,17.81,3.59,2.04,7.69,0,11.26,1.22,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados ,48.39,18.57,17.54,6.31,1.14,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0
Angola ,14.14,18.39,8.16,5.75,1.42,2.94,0,46.44,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal ,38.6,14.92,32.06,3.99,1.46,3.3,0,2.65,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,29.53,7.3,18.04,10.2,3.95,12.05,0,14.94,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia ,37.86,4.58,41.06,4.31,2.08,7.12,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,23.4,5.7,28.76,5.86,7.62,9.82,0,4.34,6.73,5.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda ,16.61,45.85,8.06,24.4,1.89,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,40.07,24.6,10.86,12.26,2.65,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,1.06,0,0,0,0,0
Tanzania ,12.04,11.49,25.94,3.01,1.08,5.08,0,22.91,8.61,7.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,24.65,23.93,23.86,15.29,5.93,3.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,13.55,9.18,35.35,2.23,0,3.93,0,23.46,4.28,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,11.91,13.38,21.57,0,1.14,1.52,0,26.26,14.45,7.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,36.81,21.71,12.32,9.47,6.69,9.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion ,31.94,13.54,32.36,9.72,2.95,6.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,10.53,21.35,18.7,3.13,1.27,5.7,0,28.07,2.8,4.51,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives ,42.54,6.22,28.94,5.72,2.38,6.17,0,2.63,1.91,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,36.68,10.13,34.22,3.09,0,3.8,0,5.07,1.83,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,16,8.59,56.07,2.37,0,2,0,7.15,2.84,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana ,34.45,40.63,16.51,2.64,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam ,34.65,19.44,10.99,18.19,4.66,7.62,0,0,0,0,0,0,0,0,0,0,0,0,2.53,0,0,0,0,0,0,0
Suriname ,35.36,26.58,18.19,6.33,2.01,6.37,0,1.41,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,21.68,11.94,19.84,5.08,6.18,6.13,0,12.74,4.36,9.86,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0
Guadeloupe ,38.64,19.45,19.12,8.5,1.21,6.34,0,3.74,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0
Netherlands Antilles ,39.01,25.77,12.64,11.04,2.92,4.48,0,0,0,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique ,40.53,21.47,17.56,6.89,1.87,9.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,24.69,5.37,11.67,1.73,2.53,4.37,0,40.31,2.67,4.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba ,9.32,16.82,70.06,0,0,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,25.78,6.59,46.9,3.44,0,2.73,0,9.53,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,44.81,20.3,13.51,10.03,1.87,3.89,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,19.33,19.79,14.92,4.24,1.16,3.99,0,22.56,5.82,6.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,23.75,33.67,12.78,20.36,3.84,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba ,31.95,29.03,12.48,13.85,4.45,5.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia ,23.94,28.11,16.17,5.55,2.1,5.74,0,10.38,1.37,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji ,25.42,16.48,30.67,5.94,1.87,6.9,0,8.15,1.55,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,40.21,23.13,12.27,16.98,3.33,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,42.53,9.94,10.54,3.44,1.83,4.29,1.02,21.41,1.11,2.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,19.55,19.08,23.14,3.82,4.03,5.63,0,11.27,5.34,6.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo ,14.89,9.72,63.54,1.96,0,1.46,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,7.2,12.6,5.59,1.94,0,13.77,0,34.11,5.59,14.89,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0
Saint Lucia ,50.26,17.87,18.71,5.48,1,2.48,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
