"Continent","Chrome","IE","Safari","Firefox","iPhone","Android","360 Safe Browser","Yandex Browser","Opera","UC Browser","Nokia","NetFront","Unknown","BlackBerry","IEMobile","Puffin","Sogou Explorer","QQ Browser","Maxthon","Sleipnir","CoRom+","SonyEricsson","Openwave Mobile Browser","Chromium","iPod Touch","Obigo","Silk","Samsung","Jasmine","Phantom","Dolfin","Iron","Maemo browser","Sony PS3","Links"
Slovakia (Slovak Republic) ,45.06,10.28,3.15,28.32,0,3.96,0,0,6.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,22.34,4.11,1.01,13.49,1.1,9.48,0,0,19.64,4.01,13.27,4.9,2.23,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,58.68,9.65,4.8,13.52,2.69,4.62,0,0,1.82,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania ,41.36,14.02,2.56,30.84,0,2.86,0,0,6.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar ,39.73,15.89,6.57,8.9,3.1,7.29,0,0,11.01,3.56,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,47.12,6.37,1.89,4.23,2.5,7.8,0,2.5,20.37,0,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,41.4,15.66,4.42,13.99,4.63,10.37,0,0,4.2,0,0,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,40.65,15.22,4.21,32.7,0,3.71,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,56.75,9.66,2.38,22.25,0,3.16,0,0,1.28,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,4.1,2.9,0,7.21,0,5.6,0,0,44.19,5.9,20.74,3.37,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia ,61.16,4.19,1.45,7.98,0,1.44,0,0,19.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan ,47.33,10.09,3.26,11.22,3.01,12.47,0,0,5.5,0,4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,36.59,18.86,10.83,12.67,5.75,10.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0
Bolivia ,37.66,18.32,2.41,25.61,2.34,7.72,0,0,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
