"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","BlackBerry","UC Browser","Nokia","NetFront","Dolfin","Maxthon","360 Safe Browser","QQ Browser","TheWorld","SeaMonkey","Flock","Comodo Dragon","iPod Touch","Sony PS3","Unknown","Obigo","Iron","Kindle"
Iraq ,31.06,32.36,25.46,1.35,1.68,0,3.01,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan ,21.23,46.96,19.58,1.79,1.19,0,4.9,0,0,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,41.08,30.42,11.85,6.25,2.07,3.65,2.2,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar ,35.89,32.96,13.49,4.74,1.46,1.23,3.29,0,1.18,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica ,24.49,33.77,22.93,4.39,2.46,1.5,4.46,0,0,4.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus ,10.56,22.24,21.25,1.01,0,0,43.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,30.58,28.26,18,9.66,6.59,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,1.02,0,0,0,0
Bolivia ,35.07,25.89,32.78,2.35,1.08,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait ,31.44,20.78,12.74,6.45,3.61,10.34,6.25,3.83,0,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,13.96,38.27,9.17,1.19,0,0,33.73,0,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador ,22.5,42.32,28.26,2.26,0,0,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro ,12.34,44.04,31.95,1.65,1.16,0,6.37,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,5.03,66.69,19.94,1.33,0,0,5.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,18.28,32.71,38.41,2.85,0,0,5.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,24.21,13.2,47.21,1.1,1.62,0,3.61,0,0,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama ,39.27,33.21,16.23,4.99,2.58,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras ,27.5,37.7,22.97,3.11,1.65,1.23,2.66,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia ,23.01,28.97,36.42,4.43,1.02,0,4.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia ,9.47,23.63,59.54,2.16,1.6,0,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova ,8.94,54.94,24.97,0,0,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,24.72,43.83,21.76,4.5,1.02,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya ,13.87,14.45,40.35,2.63,1.63,0,22.17,0,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal ,10.68,36.04,32.63,1.76,0,0,12.33,0,1.6,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,45.58,2.52,44.75,1.17,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,31.7,33.16,25.22,5.32,1.25,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,12.76,30.16,24.11,2.13,0,0,28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,38.46,22.66,12.33,6.52,3.6,4.6,4.23,1.27,0,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman ,32.51,23.24,14.72,2.39,5.97,1.19,2.23,2.18,3,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,26.68,34.6,33.88,0,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,19.93,42.92,26.71,4.37,0,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan ,15.22,8.34,26.18,0,1.21,0,29.4,0,0,15.05,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0
Nicaragua ,20.09,39.91,33.63,1.77,0,0,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland ,22.27,38.03,25.61,10.89,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen ,16.84,30.72,38.93,1.01,0,1.33,7.34,0,0,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana ,11.26,13.67,47.8,2.87,1.29,0,17.14,0,1.19,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta ,31.24,39.87,19.42,5.34,1.17,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal ,18.44,23.73,50.71,2.41,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,10.79,17.28,41.25,4.92,3.55,4.93,6.78,0,1.18,6.63,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya ,20.08,32.67,22.04,1.45,0,0,8.9,0,0,11.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,27.92,16.84,35.01,12.45,1.64,3.76,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,18.2,35.28,34.42,3.38,0,0,3.87,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda ,54.58,11.94,10.79,20.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,10,21.97,23.76,8.34,6.35,2.75,14.82,0,0,9.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,48.68,24.11,10.87,11.19,1.48,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,36.24,30.84,15.31,11.02,1.63,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,12.18,13.47,39.01,1.29,0,0,21.99,0,2.93,6.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,25.83,11.67,33.76,3.51,1.18,0,15.54,0,1.43,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados ,25.97,35.35,27.54,4.99,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,36.59,23.67,18.62,8.37,4.88,4.04,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0
Reunion ,18.65,23.52,40.3,9.32,2.98,2.14,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,17.58,13.8,45.39,2.63,1.34,0,13.17,0,1.12,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives ,9.32,28.86,42.74,4.23,1.55,1.49,2.95,0,1.24,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,15.48,8.07,18.92,2.32,0,0,46.75,0,1.27,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola ,47.61,18.08,16.79,8.78,1.48,0,3.99,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,20.63,15.22,24.79,3.01,1.35,2.09,20.33,0,0,10.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,42.75,26.41,16.2,9.35,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,7.51,19.26,14.81,1.48,1.22,1.09,49.16,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique ,45.09,22.84,21.74,5.18,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,14.2,24.25,36.66,2.32,1.16,0,10.99,0,1.8,3.89,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,14.27,11.21,63.52,1.78,0,0,6.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname ,44.73,23.9,21.39,3.53,0,0,2.34,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,42.24,20.37,16.49,15.33,1.48,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,31.28,16.39,22.5,3.98,0,0,14.18,0,1.06,7.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba ,16.31,8.15,71.87,0,0,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,21.51,9.3,20.34,3.34,1.3,0,37.88,0,1.17,2.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,28.36,28.71,26.69,9.78,2.53,1.03,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,11.07,19.62,57.58,2.86,0,0,4.28,0,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba ,39.28,26.86,17.09,10.98,2.22,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana ,39.11,27.86,26.97,2.02,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,31.45,16.67,26.06,5.55,1.15,2.05,9.23,0,1.5,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam ,27.39,28.94,18.14,13.14,3.3,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0
Namibia ,40.91,16.08,20.95,4.95,1.74,1.43,8.67,0,0,3.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey ,33.06,20.89,15.57,23.4,1.84,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji ,24.99,21.58,40.46,4.95,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
