"Continent","IE","Firefox","Safari","Chrome","Opera","iPhone","Maxthon","UC Browser","Nokia","Bolt","Mozilla","Windows Media Player"
Mozambique ,53.78,27.72,2.35,6.62,5.42,0,0,0,3.13,0,0,0
Uganda ,41.42,46.77,1.96,5.99,2.19,0,0,0,0,0,0,0
Cameroon ,31.9,61.84,0,3.96,0,0,0,0,0,0,0,0
Maldives ,28.88,50.68,2.22,12.33,3.02,0,0,0,1.27,0,0,0
Guadeloupe ,47.68,35.69,5.89,8.61,1.05,0,0,0,0,0,0,0
Jersey ,56.42,20.84,11.45,7.83,0,0,0,0,0,0,0,0
Martinique ,51.07,32.59,4.63,8.87,1.38,0,0,0,0,0,0,0
Aruba ,56.93,28.06,3.88,8.99,0,0,0,0,0,0,0,0
Guernsey ,54.65,19.15,9.7,7.24,6.53,1.18,0,0,0,0,0,0
Botswana ,58.5,23.17,2.26,11,2.6,0,0,0,0,0,0,0
Suriname ,59.33,23.48,0,6.6,6.08,0,0,0,1.47,0,0,0
Namibia ,55.84,23.89,2.58,7.87,5.74,0,0,0,1.95,0,0,0
 ,1.92,98.08,5.74,12.3,6.07,0,0,0,0,0,0,0
Fiji ,49.86,37.04,2.52,8.43,1.16,0,0,0,0,0,0,0
Cayman Islands ,54.46,26.59,8.14,8.51,0,0,0,0,0,0,0,0
Grenada ,49.86,30.79,3.76,12.87,1.43,0,0,0,0,0,0,0
Saint Lucia ,52.55,31.81,2.51,11.1,1.01,0,0,0,0,0,0,0
Haiti ,67.03,19.18,3.48,7.25,1.16,0,0,0,0,0,0,0
Andorra ,58.8,23.78,5.38,9.73,1.01,0,0,0,0,0,0,0
Cuba ,38.3,54.55,0,2.6,2.56,0,0,0,0,0,0,0
Afghanistan ,70.89,18.99,1.93,5.27,2.03,0,0,0,0,0,0,0
Cape Verde ,69.72,20.27,1.43,7,1.08,0,0,0,0,0,0,0
Saint Kitts and Nevis ,53.37,28.37,4.81,10.82,1.5,0,0,0,0,0,0,0
Antigua and Barbuda ,55.3,26.27,4.77,10.76,1.65,0,0,0,0,0,0,0
Uzbekistan ,26.94,22.6,1.38,6.71,39.32,0,0,0,1.28,0,0,0
Zambia ,49.31,31.13,2.21,8.17,7.01,0,0,0,0,0,0,0
New Caledonia ,43.76,34.33,8.59,11.34,0,0,0,0,0,0,0,0
Northern Mariana Islands ,59.06,25.2,3.28,9.12,0,0,0,0,0,0,0,0
Djibouti ,76.74,14.87,0,6.07,0,0,0,0,0,0,0,0
Guyana ,53.74,32.82,1.25,7.68,2.62,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,50.8,33.82,2.18,10.64,1.37,0,0,0,0,0,0,0
Zimbabwe ,49.29,32.25,2.66,7.59,5.47,0,0,0,1.78,0,0,0
Burkina Faso ,58.34,30.34,0,5.53,3.2,0,0,0,0,0,0,0
Belize ,43.88,41.19,2.57,7.56,1.17,0,0,0,0,0,0,0
Gibraltar ,54.78,31.12,4.33,7.07,0,0,0,0,0,0,0,0
French Guiana ,47.83,38.56,3.28,8.48,0,0,0,0,0,0,0,0
Benin ,65.09,28.35,0,3.24,1.78,0,0,0,0,0,0,0
Mauritania ,60.62,23.91,0,9.87,1.23,0,0,0,2.15,0,0,0
Madagascar ,27.89,57.07,2.64,7.8,2.75,0,0,0,0,0,0,0
Mali ,57.26,22.55,1.9,4.92,7.94,0,0,0,1.52,2.65,0,0
French Polynesia ,35.85,44.15,10.68,7.08,0,0,0,0,0,0,0,0
British Virgin Islands ,59.78,22.54,7.28,7.38,1.45,0,0,0,0,0,0,0
Dominica ,43.47,36.36,4.84,12.85,1.74,0,0,0,0,0,0,0
Turks and Caicos Islands ,59.31,23.05,6.18,9.43,0,0,0,0,0,0,0,0
Malawi ,57.01,21.99,1.25,4.05,11.49,0,0,0,2.59,0,0,0
Liechtenstein ,47.76,35.56,8.67,4.69,1.29,0,0,0,0,0,0,0
Kyrgyz Republic ,45.06,18.39,1,5.41,28.4,0,0,0,0,0,0,0
Papua New Guinea ,67.31,19.95,1.86,7.15,1.32,0,0,0,0,0,1.86,0
Congo (Democratic Republic of the),59.58,23.95,4.28,7.02,3.27,0,0,0,1.01,0,0,0
Monaco ,47.74,27.22,12.72,6.83,3.06,0,0,0,0,0,0,0
Gabon ,58.81,22.37,2.53,5.4,7.63,0,0,0,0,0,0,0
Bhutan ,53.67,28.3,1.59,13.11,2.36,0,0,0,0,0,0,0
Greenland ,61.38,22.27,6.61,6.04,2.06,0,0,0,0,0,0,0
Rwanda ,42.38,41,2.98,6.72,5.01,0,0,0,0,0,0,0
Anguilla ,70.55,17.13,4.58,6.31,0,0,0,0,0,0,0,0
Lesotho ,68.33,19.74,1.92,4.74,3.81,0,0,0,0,0,0,0
Togo ,50.47,41,0,3.92,2.19,0,0,0,0,0,0,0
Gambia ,33.13,55.44,1.5,4.15,4.07,0,0,0,0,0,0,0
San Marino ,54.69,26.09,9.98,8.11,0,0,0,0,0,0,0,0
Seychelles ,51.87,32.32,2.7,9.45,2.71,0,0,0,0,0,0,0
Tajikistan ,41.7,23.73,1.35,5.38,26.25,0,0,0,0,0,0,0
Liberia ,58.73,17.53,3.42,5.61,8.87,0,0,0,1.95,0,1.56,0
Niger ,55.11,30.36,1.87,5.22,4.72,0,0,0,1.27,0,0,0
Equatorial Guinea ,70.75,16.27,1.41,3.7,5.88,0,0,0,0,0,0,0
Somalia ,89.25,5.39,0,2.25,2.19,0,0,0,0,0,0,0
