"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Yandex Browser","Opera","BlackBerry","UC Browser","Nokia","NetFront","Sogou Explorer","Maxthon","360 Safe Browser","QQ Browser","IEMobile","iPod Touch","Silk","Obigo","Samsung","Openwave Mobile Browser","Unknown","Phantom","Midori","Iron","Sony PS3","Maemo browser"
Albania ,8.57,56.83,23.6,2.53,2.39,2.17,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa ,30.66,19.67,13.22,7.38,1.94,4.05,0,9.31,10.64,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran ,28.6,15.82,36.43,1.61,1.28,4.47,0,5.72,0,1.31,3.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,11.66,60.94,16,3.67,1.59,2.21,0,1.43,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,10.35,37.75,32.13,1.48,0,2.59,0,8.1,0,1.87,2.68,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia ,5.53,57.08,29.85,1.05,0,2.45,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,14.58,57.88,22.09,1.57,0,1.32,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,14.76,39.28,31.86,2.79,0,3.21,0,6.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,20.37,32.8,37.85,3.78,0,2.69,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,24.34,40.63,18.07,4.15,2.86,3.99,0,3.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh ,3.91,15.12,35.54,0,0,2.28,0,21.96,0,10.03,7.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania ,16.41,36.87,35.82,2.35,0,1.93,0,5.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria ,8.12,9.65,18.9,4.16,0,2.24,0,36.83,0,11.11,6.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,8.76,49.66,6.67,1.76,1.25,3.36,1.74,23.8,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan ,14.56,48.55,13.98,2.87,2.06,6.37,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar ,24.71,38.78,10.96,6.89,2.38,5.63,0,4.82,0,1.2,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica ,19.05,39.28,17.62,4.91,2.68,6.69,0,4.3,0,0,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia ,25.83,33.17,30.78,2.7,1.23,3.33,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia ,5.25,58.28,11.58,1.57,0,0,0,20.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,14.79,46.5,23.56,1.28,0,5.03,0,4.14,0,0,2.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro ,8.67,49.7,28.52,1.87,0,3.23,0,4.76,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
