"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","Opera","Nokia","BlackBerry","UC Browser","NetFront","Maxthon","TheWorld","iPod Touch","Sony PS3","Samsung","Obigo","Chromium","Epiphany","Windows Media Player","AppleWebKit"
Oman ,43.48,13.33,21.33,2.05,3.01,0,2.21,9.57,2.56,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,38.21,29.63,26.74,0,0,0,2.82,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,48.22,23.93,13.38,9.49,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya ,15.79,34.46,12.52,2.22,1.38,0,28.45,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,23.42,27.03,40.62,3.7,0,0,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal ,16.41,32.25,30.33,1.57,0,0,14.72,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,37.31,37.81,10.63,1.15,1.1,0,1.66,7.47,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland ,23.02,27.35,36.88,9.74,0,0,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,22.8,36.98,34.27,1.53,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan ,22.07,19.91,6.32,0,0,0,28.09,20.31,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana ,13.74,42.6,12.62,2.34,0,0,19.76,3.29,0,0,1.6,0,0,0,0,0,0,0,0,0,0
Malta ,36.01,19.01,37.03,4.37,0,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,54.53,11.63,19.88,9.11,1.33,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal ,20.13,53.32,20.33,1.82,0,0,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,16.11,37.47,14.94,4.13,2.2,2.72,8.03,10.28,0,0,2.02,0,0,0,0,0,0,0,0,0,0
Yemen ,28.66,33.93,27.49,0,0,1.02,5.18,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,11.67,22.89,20.74,7.74,3.64,2.49,14.59,13.89,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya ,21.73,17.63,23.86,0,0,0,12.95,21.55,0,0,0,0,0,0,0,0,0,0,0,0,0
