"Continent","Chrome","IE","Safari","Firefox","iPhone","Android","360 Safe Browser","Yandex Browser","Opera","IEMobile","UC Browser","Nokia","NetFront","Unknown","BlackBerry","Sogou Explorer","QQ Browser","Maxthon","CoRom+","Puffin","iPod Touch","Chromium","SonyEricsson","Obigo","Silk","Phantom","Openwave Mobile Browser","Iron","Midori","Kindle","Iceweasel"
Kenya ,10.78,2.89,1.51,13.28,0,6.99,0,0,43.35,1.43,3.19,11.89,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,45.25,14.28,4.5,13.14,4.79,10.95,0,0,2.87,1.26,0,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia ,60.05,3.91,1.48,24.66,1.8,3.9,0,0,3.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,51.39,4.58,1.85,3.69,2.95,9.13,0,2.78,18.88,0,0,2.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,44.66,12.3,3.28,26.68,1.14,3.95,0,0,6.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,24.92,4.1,1.26,13.61,1.6,16.36,0,0,17.82,0,4.59,8.38,2.52,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia ,42.09,15.6,4.33,30.66,1.14,3.72,0,0,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic ,57.7,8.93,5.31,12.7,3.33,5.71,0,0,1.85,0,0,0,0,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar ,41.58,14.04,6.86,7.86,4.1,7.94,0,0,10.13,0,4.21,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,57.89,9.37,2.47,20.34,0,4.04,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania ,43.16,13.6,2.94,28.71,0,2.73,0,0,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan ,47.99,9.09,3.13,10.2,3.44,15.5,0,0,4.97,1.01,0,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia ,61.94,3.81,1.56,7.36,0,1.71,0,0,19.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia ,41.56,14.19,2.48,24.58,2.76,8.63,0,0,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,6.25,3.82,1.1,9.99,0,10.69,0,0,45.22,0,6.39,11.45,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica ,42.02,11.14,6.38,13.57,4.63,12.38,0,0,4.45,1.32,0,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,38.03,18.66,11.29,10.71,6.48,10.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0
El Salvador ,48.22,11.46,4.03,19.2,2.4,7.62,0,0,3.08,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait ,29.7,13.54,9.19,6.24,16.56,10.38,0,0,10.45,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro ,51.22,5.85,2.44,21.29,1.88,9.43,0,0,4.46,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,47.37,18.31,8.22,16.25,2.46,4.63,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay ,48.48,8.01,1.42,18.47,0,9.65,0,0,4.91,1.56,0,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,47.9,8.28,3.33,12.53,3.25,6.47,0,2.49,12.29,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal ,36.53,3.48,2.06,17.57,2.66,6.43,0,0,18.52,0,7.37,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,51.99,15.08,6.49,13.15,1.73,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,52.82,11.04,4.9,15.24,1.72,7.26,0,0,2.17,0,0,0,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,50.59,11.02,2.02,24.74,1.87,5.87,0,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,44.99,11.44,4.34,29.41,1.38,2.64,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia ,43.94,14.02,5.51,24.74,1.02,2.85,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,4.26,0,0,0,0,0,0,0,0,0
Sudan ,9.81,4.59,0,13.04,1.1,9.56,0,0,39.72,0,3.96,15.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus ,37.78,8.15,2.4,16.28,0,3.52,0,2.39,26.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman ,28.15,11.79,2.93,6.11,3.32,21.87,0,0,1.17,0,9.81,11.73,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama ,42.29,19.73,8,9.99,2.37,13.82,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen ,33.61,4.69,1.48,23.58,4.35,13.67,0,0,12.93,0,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova ,62.8,6.23,2.08,16.88,1.08,2.22,0,1.05,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,34.25,18.56,6.24,7.35,6.32,16.67,0,0,3.57,0,3.34,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,34.79,12.42,8,12.2,7.16,18.92,0,0,2.59,0,1.21,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,69.95,3.22,2.98,11.72,1.84,1.96,0,1.53,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland ,52.13,10.83,13.83,16.21,2.83,1.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,11.18,1.39,3.58,34.72,4.25,39.61,0,0,1.48,0,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta ,53.18,15.18,9.19,12.63,2.66,4.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras ,49.34,11.66,5.34,14.84,2.86,9.2,0,0,2.23,0,0,0,0,0,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,10.37,8.67,1.64,12.23,0,2.98,0,0,51.55,1.49,2.44,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal ,36.52,11.95,3.03,33.33,1.67,5.59,0,0,3.32,0,1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,45.37,9.8,4.81,19.23,1.44,7.09,0,0,6.2,0,1.06,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya ,36.87,7.81,3.08,14.65,3.16,11.11,0,0,15.62,0,1.18,5.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,48.01,9.63,3.29,19.97,1.89,5.37,0,0,4.47,0,1.27,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana ,16.44,5.23,2.54,28.17,1.19,6.43,0,0,24.93,0,8.41,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados ,49.55,15.66,7.97,14.75,1.27,4.83,0,0,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,24.56,3.41,8,23.04,15.78,15.67,0,0,2.55,0,2.25,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,8.56,10.43,1.81,10.44,1.16,6.36,0,0,39.97,1.83,3.82,10.71,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,31.77,5.1,10.22,13.21,5.22,14.16,0,0,15.85,0,1.47,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,12.01,8.68,1.89,7.28,0,7.88,0,0,40.2,1.31,5.12,9.3,0,0,0,0,0,0,0,0,0,0,1.22,1.12,0,0,0,0,0,0,0
Syrian Arab Republic ,28.58,6.53,1.39,29.57,1.7,16.89,0,0,5.4,0,4.08,4.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
